"ResponseId","scenario_abb","MP_R1","MP_R2","MP_R3","MP_R4","M_1","StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consentQ","PID","age","gender","gender_4_TEXT","S_M_R_1","S_M_R_2","S_M_R_3","S_M_R_4","S_M_M_1","J_ND1_R_1","J_ND1_R_2","J_ND1_R_3","J_ND1_R_4","J_ND1_M_1","C_ND2_R_1","C_ND2_R_2","C_ND2_R_3","C_ND2_R_4","C_ND2_M_1","F_M_R_1","F_M_R_2","F_M_R_3","F_M_R_4","F_M_M_1","A_M_R_1","A_M_R_2","A_M_R_3","A_M_R_4","A_M_M_1","R_M_R_1","R_M_R_2","R_M_R_3","R_M_R_4","R_M_M_1","attn_chk_1Q","attn_chk_2_Q","condition","R_tot","M1","M1R_tot"
"R_3nCT01pg6FB1LCz","Sam",5,6,5,5,72,2022-03-13 10:05:45,2022-03-13 10:10:46,"Survey Preview",NA,100,300,TRUE,2022-03-13 10:10:47,NA,NA,NA,NA,53.3381958007813,-6.25909423828125,"preview","EN","Yes","id",32,"Male",NA,5,6,5,5,72,5,6,6,6,56,6,7,7,6,59,6,5,6,6,60,5,6,5,6,56,7,7,7,6,56,"None of the above","Soccer","Diagnostic",5.25,72,-0.488356478556196
"R_3nCT01pg6FB1LCz","Jackie",5,6,6,6,56,2022-03-13 10:05:45,2022-03-13 10:10:46,"Survey Preview",NA,100,300,TRUE,2022-03-13 10:10:47,NA,NA,NA,NA,53.3381958007813,-6.25909423828125,"preview","EN","Yes","id",32,"Male",NA,5,6,5,5,72,5,6,6,6,56,6,7,7,6,59,6,5,6,6,60,5,6,5,6,56,7,7,7,6,56,"None of the above","Soccer","Non-Diagnostic",5.75,56,-0.783854935985311
"R_3nCT01pg6FB1LCz","Charlie",6,7,7,6,59,2022-03-13 10:05:45,2022-03-13 10:10:46,"Survey Preview",NA,100,300,TRUE,2022-03-13 10:10:47,NA,NA,NA,NA,53.3381958007813,-6.25909423828125,"preview","EN","Yes","id",32,"Male",NA,5,6,5,5,72,5,6,6,6,56,6,7,7,6,59,6,5,6,6,60,5,6,5,6,56,7,7,7,6,56,"None of the above","Soccer","Non-Diagnostic",6.5,59,-0.258707715371153
"R_3nCT01pg6FB1LCz","Francis",6,5,6,6,60,2022-03-13 10:05:45,2022-03-13 10:10:46,"Survey Preview",NA,100,300,TRUE,2022-03-13 10:10:47,NA,NA,NA,NA,53.3381958007813,-6.25909423828125,"preview","EN","Yes","id",32,"Male",NA,5,6,5,5,72,5,6,6,6,56,6,7,7,6,59,6,5,6,6,60,5,6,5,6,56,7,7,7,6,56,"None of the above","Soccer","Diagnostic",5.75,60,-0.64038902387304
"R_3nCT01pg6FB1LCz","Alex",5,6,5,6,56,2022-03-13 10:05:45,2022-03-13 10:10:46,"Survey Preview",NA,100,300,TRUE,2022-03-13 10:10:47,NA,NA,NA,NA,53.3381958007813,-6.25909423828125,"preview","EN","Yes","id",32,"Male",NA,5,6,5,5,72,5,6,6,6,56,6,7,7,6,59,6,5,6,6,60,5,6,5,6,56,7,7,7,6,56,"None of the above","Soccer","Diagnostic",5.5,56,-0.923037531495296
"R_3nCT01pg6FB1LCz","Robin",7,7,7,6,56,2022-03-13 10:05:45,2022-03-13 10:10:46,"Survey Preview",NA,100,300,TRUE,2022-03-13 10:10:47,NA,NA,NA,NA,53.3381958007813,-6.25909423828125,"preview","EN","Yes","id",32,"Male",NA,5,6,5,5,72,5,6,6,6,56,6,7,7,6,59,6,5,6,6,60,5,6,5,6,56,7,7,7,6,56,"None of the above","Soccer","Diagnostic",6.75,56,-0.227124553945372
"R_2b1abPYePcvkl2p","Sam",6,6,6,6,55,2022-03-13 10:25:46,2022-03-13 10:27:27,"IP Address","71.59.101.142",100,100,TRUE,2022-03-13 10:27:28,NA,NA,NA,NA,40.0054931640625,-74.9979019165039,"anonymous","EN","Yes","AKMIORNF40ST7",46,"Male",NA,6,6,6,6,55,5,5,5,5,55,5,5,5,5,55,5,5,5,5,54,5,5,5,5,57,5,5,5,5,55,"None of the above","Basketball","Diagnostic",6,55,-0.680538818503394
"R_2b1abPYePcvkl2p","Jackie",5,5,5,5,55,2022-03-13 10:25:46,2022-03-13 10:27:27,"IP Address","71.59.101.142",100,100,TRUE,2022-03-13 10:27:28,NA,NA,NA,NA,40.0054931640625,-74.9979019165039,"anonymous","EN","Yes","AKMIORNF40ST7",46,"Male",NA,6,6,6,6,55,5,5,5,5,55,5,5,5,5,55,5,5,5,5,54,5,5,5,5,57,5,5,5,5,55,"None of the above","Basketball","Non-Diagnostic",5,55,-1.23726920054333
"R_2b1abPYePcvkl2p","Charlie",5,5,5,5,55,2022-03-13 10:25:46,2022-03-13 10:27:27,"IP Address","71.59.101.142",100,100,TRUE,2022-03-13 10:27:28,NA,NA,NA,NA,40.0054931640625,-74.9979019165039,"anonymous","EN","Yes","AKMIORNF40ST7",46,"Male",NA,6,6,6,6,55,5,5,5,5,55,5,5,5,5,55,5,5,5,5,54,5,5,5,5,57,5,5,5,5,55,"None of the above","Basketball","Non-Diagnostic",5,55,-1.23726920054333
"R_2b1abPYePcvkl2p","Francis",5,5,5,5,54,2022-03-13 10:25:46,2022-03-13 10:27:27,"IP Address","71.59.101.142",100,100,TRUE,2022-03-13 10:27:28,NA,NA,NA,NA,40.0054931640625,-74.9979019165039,"anonymous","EN","Yes","AKMIORNF40ST7",46,"Male",NA,6,6,6,6,55,5,5,5,5,55,5,5,5,5,55,5,5,5,5,54,5,5,5,5,57,5,5,5,5,55,"None of the above","Basketball","Diagnostic",5,54,-1.2731356785714
"R_2b1abPYePcvkl2p","Alex",5,5,5,5,57,2022-03-13 10:25:46,2022-03-13 10:27:27,"IP Address","71.59.101.142",100,100,TRUE,2022-03-13 10:27:28,NA,NA,NA,NA,40.0054931640625,-74.9979019165039,"anonymous","EN","Yes","AKMIORNF40ST7",46,"Male",NA,6,6,6,6,55,5,5,5,5,55,5,5,5,5,55,5,5,5,5,54,5,5,5,5,57,5,5,5,5,55,"None of the above","Basketball","Diagnostic",5,57,-1.1655362444872
"R_2b1abPYePcvkl2p","Robin",5,5,5,5,55,2022-03-13 10:25:46,2022-03-13 10:27:27,"IP Address","71.59.101.142",100,100,TRUE,2022-03-13 10:27:28,NA,NA,NA,NA,40.0054931640625,-74.9979019165039,"anonymous","EN","Yes","AKMIORNF40ST7",46,"Male",NA,6,6,6,6,55,5,5,5,5,55,5,5,5,5,55,5,5,5,5,54,5,5,5,5,57,5,5,5,5,55,"None of the above","Basketball","Diagnostic",5,55,-1.23726920054333
"R_bx6eG6CWzzm9laV","Sam",4,4,4,4,50,2022-03-13 10:25:51,2022-03-13 10:27:49,"IP Address","67.189.129.240",100,117,TRUE,2022-03-13 10:27:49,NA,NA,NA,NA,41.4098052978516,-73.5899963378906,"anonymous","EN","Yes","AGDJB8B8CDZ71",35,"Male",NA,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,"None of the above","Soccer","Diagnostic",4,50,-1.97333197272361
"R_bx6eG6CWzzm9laV","Jackie",4,4,4,4,50,2022-03-13 10:25:51,2022-03-13 10:27:49,"IP Address","67.189.129.240",100,117,TRUE,2022-03-13 10:27:49,NA,NA,NA,NA,41.4098052978516,-73.5899963378906,"anonymous","EN","Yes","AGDJB8B8CDZ71",35,"Male",NA,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,4,4,4,4,50,"None of the above","Soccer","Non-Diagnostic",4,50,-1.97333197272361
