"ResponseId","scenario_abb","MP_R1","MP_R2","MP_R3","MP_R4","M_1","StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consentQ","age","gender","gender_4_TEXT","S_M_R_1","S_M_R_2","S_M_R_3","S_M_R_4","S_M_M_1","J_ND1_R_1","J_ND1_R_2","J_ND1_R_3","J_ND1_R_4","J_ND1_M_1","C_ND2_R_1","C_ND2_R_2","C_ND2_R_3","C_ND2_R_4","C_ND2_M_1","F_M_R_1","F_M_R_2","F_M_R_3","F_M_R_4","F_M_M_1","A_M_R_1","A_M_R_2","A_M_R_3","A_M_R_4","A_M_M_1","R_M_R_1","R_M_R_2","R_M_R_3","R_M_R_4","R_M_M_1","attn_chk_1Q","attn_chk_2_Q","condition","R_tot","M1","M1R_tot"
"R_ZwzDyvTwh9Its4h","Sam",7,6,7,7,58,2022-01-31 03:46:31,2022-01-31 03:47:52,100,80,TRUE,2022-01-31 03:47:52,NA,NA,NA,NA,"preview","EN","Yes",NA,NA,NA,7,6,7,7,58,1,2,2,3,43,2,2,2,3,34,2,2,2,1,44,2,3,4,5,33,6,6,7,7,68,"None of the above","Soccer","Diagnostic",6.75,58,0.489805570073922
"R_ZwzDyvTwh9Its4h","Jackie",1,2,2,3,43,2022-01-31 03:46:31,2022-01-31 03:47:52,100,80,TRUE,2022-01-31 03:47:52,NA,NA,NA,NA,"preview","EN","Yes",NA,NA,NA,7,6,7,7,58,1,2,2,3,43,2,2,2,3,34,2,2,2,1,44,2,3,4,5,33,6,6,7,7,68,"None of the above","Soccer","Non-Diagnostic",2,43,-1.28575676475116
"R_ZwzDyvTwh9Its4h","Charlie",2,2,2,3,34,2022-01-31 03:46:31,2022-01-31 03:47:52,100,80,TRUE,2022-01-31 03:47:52,NA,NA,NA,NA,"preview","EN","Yes",NA,NA,NA,7,6,7,7,58,1,2,2,3,43,2,2,2,3,34,2,2,2,1,44,2,3,4,5,33,6,6,7,7,68,"None of the above","Soccer","Non-Diagnostic",2.25,34,-1.38249987907506
"R_ZwzDyvTwh9Its4h","Francis",2,2,2,1,44,2022-01-31 03:46:31,2022-01-31 03:47:52,100,80,TRUE,2022-01-31 03:47:52,NA,NA,NA,NA,"preview","EN","Yes",NA,NA,NA,7,6,7,7,58,1,2,2,3,43,2,2,2,3,34,2,2,2,1,44,2,3,4,5,33,6,6,7,7,68,"None of the above","Soccer","Diagnostic",1.75,44,-1.34444081201776
"R_ZwzDyvTwh9Its4h","Alex",2,3,4,5,33,2022-01-31 03:46:31,2022-01-31 03:47:52,100,80,TRUE,2022-01-31 03:47:52,NA,NA,NA,NA,"preview","EN","Yes",NA,NA,NA,7,6,7,7,58,1,2,2,3,43,2,2,2,3,34,2,2,2,1,44,2,3,4,5,33,6,6,7,7,68,"None of the above","Soccer","Diagnostic",3.5,33,-1.01136606194679
"R_ZwzDyvTwh9Its4h","Robin",6,6,7,7,68,2022-01-31 03:46:31,2022-01-31 03:47:52,100,80,TRUE,2022-01-31 03:47:52,NA,NA,NA,NA,"preview","EN","Yes",NA,NA,NA,7,6,7,7,58,1,2,2,3,43,2,2,2,3,34,2,2,2,1,44,2,3,4,5,33,6,6,7,7,68,"None of the above","Soccer","Diagnostic",6.5,68,0.605977079596633
"R_3FOFvF9AfNd2C2G","Sam",3,2,3,3,43,2022-01-31 06:30:06,2022-01-31 06:42:29,100,743,TRUE,2022-01-31 06:42:29,NA,NA,NA,NA,"anonymous","EN","Yes",NA,NA,NA,3,2,3,3,43,1,1,2,3,60,1,2,2,1,59,4,5,6,6,59,2,3,3,3,45,5,5,5,5,55,"None of the above","Soccer","Diagnostic",2.75,43,-1.05141943735491
"R_3FOFvF9AfNd2C2G","Jackie",1,1,2,3,60,2022-01-31 06:30:06,2022-01-31 06:42:29,100,743,TRUE,2022-01-31 06:42:29,NA,NA,NA,NA,"anonymous","EN","Yes",NA,NA,NA,3,2,3,3,43,1,1,2,3,60,1,2,2,1,59,4,5,6,6,59,2,3,3,3,45,5,5,5,5,55,"None of the above","Soccer","Non-Diagnostic",1.75,60,-1.03358648883676
"R_3FOFvF9AfNd2C2G","Charlie",1,2,2,1,59,2022-01-31 06:30:06,2022-01-31 06:42:29,100,743,TRUE,2022-01-31 06:42:29,NA,NA,NA,NA,"anonymous","EN","Yes",NA,NA,NA,3,2,3,3,43,1,1,2,3,60,1,2,2,1,59,4,5,6,6,59,2,3,3,3,45,5,5,5,5,55,"None of the above","Soccer","Non-Diagnostic",1.5,59,-1.13112732650099
"R_3FOFvF9AfNd2C2G","Francis",4,5,6,6,59,2022-01-31 06:30:06,2022-01-31 06:42:29,100,743,TRUE,2022-01-31 06:42:29,NA,NA,NA,NA,"anonymous","EN","Yes",NA,NA,NA,3,2,3,3,43,1,1,2,3,60,1,2,2,1,59,4,5,6,6,59,2,3,3,3,45,5,5,5,5,55,"None of the above","Soccer","Diagnostic",5.25,59,0.0405593104802427
"R_3FOFvF9AfNd2C2G","Alex",2,3,3,3,45,2022-01-31 06:30:06,2022-01-31 06:42:29,100,743,TRUE,2022-01-31 06:42:29,NA,NA,NA,NA,"anonymous","EN","Yes",NA,NA,NA,3,2,3,3,43,1,1,2,3,60,1,2,2,1,59,4,5,6,6,59,2,3,3,3,45,5,5,5,5,55,"None of the above","Soccer","Diagnostic",2.75,45,-1.01256264695729
"R_3FOFvF9AfNd2C2G","Robin",5,5,5,5,55,2022-01-31 06:30:06,2022-01-31 06:42:29,100,743,TRUE,2022-01-31 06:42:29,NA,NA,NA,NA,"anonymous","EN","Yes",NA,NA,NA,3,2,3,3,43,1,1,2,3,60,1,2,2,1,59,4,5,6,6,59,2,3,3,3,45,5,5,5,5,55,"None of the above","Soccer","Diagnostic",5,55,-0.115266712780423
"R_6gHCGsTwFCbH5qV","Sam",6,5,5,6,81,2022-01-31 06:45:25,2022-01-31 06:47:26,100,120,TRUE,2022-01-31 06:47:26,NA,NA,NA,NA,"anonymous","EN","Yes",51,"Female",NA,6,5,5,6,81,4,5,5,4,72,5,6,6,6,51,5,6,6,6,65,5,5,6,6,69,6,5,5,5,65,"None of the above","Soccer","Diagnostic",5.5,81,0.546096447319534
"R_6gHCGsTwFCbH5qV","Jackie",4,5,5,4,72,2022-01-31 06:45:25,2022-01-31 06:47:26,100,120,TRUE,2022-01-31 06:47:26,NA,NA,NA,NA,"anonymous","EN","Yes",51,"Female",NA,6,5,5,6,81,4,5,5,4,72,5,6,6,6,51,5,6,6,6,65,5,5,6,6,69,6,5,5,5,65,"None of the above","Soccer","Non-Diagnostic",4.5,72,0.0587911206685598
"R_6gHCGsTwFCbH5qV","Charlie",5,6,6,6,51,2022-01-31 06:45:25,2022-01-31 06:47:26,100,120,TRUE,2022-01-31 06:47:26,NA,NA,NA,NA,"anonymous","EN","Yes",51,"Female",NA,6,5,5,6,81,4,5,5,4,72,5,6,6,6,51,5,6,6,6,65,5,5,6,6,69,6,5,5,5,65,"None of the above","Soccer","Non-Diagnostic",5.75,51,0.0413570338205729
