"StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consentQ","age","gender","gender_4_TEXT","S_M_R_1","S_M_R_2","S_M_R_3","S_M_R_4","S_M_M_1","J_ND1_R_1","J_ND1_R_2","J_ND1_R_3","J_ND1_R_4","J_ND1_M_1","C_ND2_R_1","C_ND2_R_2","C_ND2_R_3","C_ND2_R_4","C_ND2_M_1","F_M_R_1","F_M_R_2","F_M_R_3","F_M_R_4","F_M_M_1","A_M_R_1","A_M_R_2","A_M_R_3","A_M_R_4","A_M_M_1","R_M_R_1","R_M_R_2","R_M_R_3","R_M_R_4","R_M_M_1","attn_chk_1Q","attn_chk_2_Q"
2022-01-31 03:46:31,2022-01-31 03:47:52,100,80,TRUE,2022-01-31 03:47:52,"R_ZwzDyvTwh9Its4h",NA,NA,NA,NA,"preview","EN","Yes",NA,NA,NA,7,6,7,7,58,1,2,2,3,43,2,2,2,3,34,2,2,2,1,44,2,3,4,5,33,6,6,7,7,68,"None of the above","Soccer"
2022-01-31 06:30:06,2022-01-31 06:42:29,100,743,TRUE,2022-01-31 06:42:29,"R_3FOFvF9AfNd2C2G",NA,NA,NA,NA,"anonymous","EN","Yes",NA,NA,NA,3,2,3,3,43,1,1,2,3,60,1,2,2,1,59,4,5,6,6,59,2,3,3,3,45,5,5,5,5,55,"None of the above","Soccer"
2022-01-31 06:45:25,2022-01-31 06:47:26,100,120,TRUE,2022-01-31 06:47:26,"R_6gHCGsTwFCbH5qV",NA,NA,NA,NA,"anonymous","EN","Yes",51,"Female",NA,6,5,5,6,81,4,5,5,4,72,5,6,6,6,51,5,6,6,6,65,5,5,6,6,69,6,5,5,5,65,"None of the above","Soccer"
2022-01-31 06:45:02,2022-01-31 06:47:27,100,145,TRUE,2022-01-31 06:47:27,"R_3PnuR7PylnNpXrt",NA,NA,NA,NA,"anonymous","EN","Yes",39,"Female",NA,1,2,2,2,5,5,5,6,5,77,5,5,5,6,66,3,2,4,2,10,1,1,3,1,7,2,2,1,2,8,"None of the above","Soccer"
2022-01-31 06:45:58,2022-01-31 06:48:21,100,143,TRUE,2022-01-31 06:48:21,"R_2EnrYyc7pjEO6ZK",NA,NA,NA,NA,"anonymous","EN","Yes",29,"Male",NA,2,2,3,3,25,5,4,6,4,72,5,5,6,4,70,2,1,4,4,30,2,2,4,3,20,1,1,1,3,5,"None of the above","Soccer"
2022-01-31 06:46:06,2022-01-31 06:48:33,100,147,TRUE,2022-01-31 06:48:34,"R_3kMUGOJcj9TaWev",NA,NA,NA,NA,"anonymous","EN","Yes",28,"Male",NA,5,2,4,4,59,6,7,7,5,47,4,2,2,5,56,4,2,2,4,55,3,2,3,2,55,1,6,6,5,44,"None of the above","Swimming"
2022-01-31 06:45:38,2022-01-31 06:48:33,100,175,TRUE,2022-01-31 06:48:34,"R_3Kr0QHEawxakSPF",NA,NA,NA,NA,"anonymous","EN","Yes",28,"Male",NA,3,2,3,3,23,5,4,5,5,60,4,5,4,4,53,3,2,3,3,25,3,2,2,1,20,1,1,2,1,7,"None of the above","Swimming"
2022-01-31 06:45:14,2022-01-31 06:48:38,100,203,TRUE,2022-01-31 06:48:38,"R_1FzXASTgVLcz34v",NA,NA,NA,NA,"anonymous","EN","Yes",43,"Male",NA,2,2,3,2,20,5,5,5,5,75,5,5,5,5,75,2,2,4,2,25,2,2,4,2,20,2,2,2,2,20,"None of the above","Soccer"
2022-01-31 06:45:47,2022-01-31 06:48:57,100,190,TRUE,2022-01-31 06:48:58,"R_3HXDeLC02Q8ivgo",NA,NA,NA,NA,"anonymous","EN","Yes",48,"Male",NA,6,5,6,5,92,6,5,6,5,74,5,6,5,4,64,5,6,5,4,75,4,5,6,5,73,5,6,5,4,73,"None of the above","Soccer"
2022-01-31 06:44:59,2022-01-31 06:49:07,100,248,TRUE,2022-01-31 06:49:08,"R_DCyCCDcp6tg03kJ",NA,NA,NA,NA,"anonymous","EN","Yes",39,"Female",NA,1,1,1,1,0,5,5,5,5,69,5,5,5,5,71,2,2,2,2,16,2,2,2,2,1,1,1,1,1,0,"None of the above","Soccer"
2022-01-31 06:46:34,2022-01-31 06:49:07,100,153,TRUE,2022-01-31 06:49:08,"R_3MosIQuJh5QRLmF",NA,NA,NA,NA,"anonymous","EN","Yes",29,"Male",NA,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,"Satisfied","Basketball"
2022-01-31 06:45:38,2022-01-31 06:49:13,100,215,TRUE,2022-01-31 06:49:14,"R_UX4tM1gC26WmMVP",NA,NA,NA,NA,"anonymous","EN","Yes",42,"Male",NA,2,2,2,2,15,4,3,4,4,40,4,3,4,4,40,3,3,4,4,35,3,3,4,3,30,1,1,1,1,0,"None of the above","Soccer"
2022-01-31 06:45:46,2022-01-31 06:49:14,100,207,TRUE,2022-01-31 06:49:15,"R_3338clEAvXhnNLz",NA,NA,NA,NA,"anonymous","EN","Yes",29,"Male",NA,7,6,7,6,100,7,6,7,6,96,7,6,7,6,100,7,6,7,6,94,7,6,7,6,91,7,6,7,6,93,"Happy","Basketball"
2022-01-31 06:46:28,2022-01-31 06:49:15,100,167,TRUE,2022-01-31 06:49:15,"R_1DqJm2GkCcHKhD3",NA,NA,NA,NA,"anonymous","EN","Yes",47,"Male",NA,5,6,5,6,65,5,6,5,5,77,6,7,5,6,89,6,5,5,7,48,6,7,5,6,71,6,7,6,5,61,"Happy","Baseball"
2022-01-31 06:46:10,2022-01-31 06:49:17,100,187,TRUE,2022-01-31 06:49:18,"R_2sXgeqRhJDv6Wdh",NA,NA,NA,NA,"anonymous","EN","Yes",35,"Female",NA,5,6,7,6,82,6,7,6,7,85,6,7,6,7,84,5,6,7,6,83,5,6,7,6,84,5,7,6,6,84,"Happy","Bowling"
2022-01-31 06:45:47,2022-01-31 06:49:21,100,214,TRUE,2022-01-31 06:49:21,"R_2DP2f9dDQ3GB4Pw",NA,NA,NA,NA,"anonymous","EN","Yes",46,"Male",NA,1,1,1,1,7,4,4,4,4,50,4,4,4,4,50,3,3,4,3,36,2,2,4,2,24,2,2,1,2,14,"None of the above","Soccer"
2022-01-31 06:46:16,2022-01-31 06:49:25,100,189,TRUE,2022-01-31 06:49:25,"R_1DXVEkEtwgowroo",NA,NA,NA,NA,"anonymous","EN","Yes",33,"Female",NA,5,6,5,5,78,5,6,5,5,76,6,6,5,5,72,6,5,5,4,77,5,6,6,5,76,5,6,5,5,73,"None of the above","Soccer"
2022-01-31 06:46:02,2022-01-31 06:49:28,100,206,TRUE,2022-01-31 06:49:28,"R_1H15fjmpqoKXHa2",NA,NA,NA,NA,"anonymous","EN","Yes",25,"Male",NA,7,5,6,6,88,5,7,6,6,75,6,7,6,6,77,7,5,6,6,85,5,6,6,6,78,5,7,6,6,88,"None of the above","Soccer"
2022-01-31 06:46:51,2022-01-31 06:49:29,100,157,TRUE,2022-01-31 06:49:29,"R_2905V7vE4I1tzbQ",NA,NA,NA,NA,"anonymous","EN","Yes",26,"Male",NA,5,4,5,5,57,5,5,3,5,66,5,4,5,5,65,4,5,5,4,56,5,4,5,6,59,6,5,4,5,61,"Satisfied","Soccer"
2022-01-31 06:46:55,2022-01-31 06:49:30,100,154,TRUE,2022-01-31 06:49:31,"R_cSkgpxyMjTiauu5",NA,NA,NA,NA,"anonymous","EN","Yes",30,"Male",NA,4,5,5,4,60,4,5,6,4,60,5,6,4,4,60,5,6,7,6,56,6,7,6,4,70,6,7,6,5,60,"None of the above","Basketball"
2022-01-31 06:46:05,2022-01-31 06:49:30,100,205,TRUE,2022-01-31 06:49:31,"R_xbKn7SEoJOJhpAd",NA,NA,NA,NA,"anonymous","EN","Yes",26,"Male",NA,3,2,4,3,30,4,4,6,4,65,4,4,6,4,60,3,3,4,4,40,3,1,2,2,15,3,2,1,2,20,"None of the above","Soccer"
2022-01-31 06:46:31,2022-01-31 06:49:36,100,184,TRUE,2022-01-31 06:49:36,"R_3hbVwNJTZXCi7XW",NA,NA,NA,NA,"anonymous","EN","Yes",40,"Female",NA,1,1,1,1,0,6,6,7,7,95,6,6,6,6,85,1,1,1,1,0,1,1,1,1,1,2,1,1,2,1,"None of the above","Swimming"
2022-01-31 06:46:50,2022-01-31 06:49:36,100,166,TRUE,2022-01-31 06:49:36,"R_6XSF18k607z5KHD",NA,NA,NA,NA,"anonymous","EN","Yes",25,"Male",NA,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,7,7,7,7,93,7,7,7,7,98,"Happy","Basketball"
2022-01-31 06:46:37,2022-01-31 06:49:38,100,181,TRUE,2022-01-31 06:49:38,"R_T5A4pOy4RT9aACd",NA,NA,NA,NA,"anonymous","EN","Yes",31,"Male",NA,7,7,7,7,98,7,7,7,7,97,7,7,7,7,96,7,7,7,7,96,7,7,7,7,96,7,7,7,7,95,"None of the above","Soccer"
2022-01-31 06:45:57,2022-01-31 06:49:44,100,227,TRUE,2022-01-31 06:49:44,"R_vBK0zKV8l7Y6d1f",NA,NA,NA,NA,"anonymous","EN","Yes",48,"Female",NA,3,5,5,6,85,3,5,6,5,80,4,5,6,4,67,3,4,5,6,74,4,5,5,4,82,3,4,5,6,70,"None of the above","Baseball"
2022-01-31 06:46:04,2022-01-31 06:49:47,100,222,TRUE,2022-01-31 06:49:47,"R_0J66zmXywj9RLK9",NA,NA,NA,NA,"anonymous","EN","Yes",32,"Female",NA,3,4,5,4,100,2,4,5,4,68,3,4,5,4,84,3,4,5,4,100,3,4,5,4,75,3,4,5,4,94,"None of the above","Soccer"
2022-01-31 06:45:57,2022-01-31 06:49:47,100,230,TRUE,2022-01-31 06:49:47,"R_3PjLyZSEOWsTFuj",NA,NA,NA,NA,"anonymous","EN","Yes",30,"Female",NA,6,7,5,6,83,7,6,5,6,79,4,5,6,4,66,6,5,6,7,63,6,5,5,6,57,6,5,6,7,68,"None of the above","Soccer"
