"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot"
"R_1eJF4vxIrwCVoYc",3,3,4,3,40,"sam","non-diagnostic","ND1",21,1,7,5,3.25,0.894878336228547
"R_1mym8F7Z57DSOl7",1,1,6,2,28,"sam","non-diagnostic","ND1",38,1,5,2,2.5,0.112890046116691
"R_RQgwmWwMUl4Y5nb",1,1,1,1,7,"sam","non-diagnostic","ND1",23,1,7,5,1,-1.35887140580965
"R_2X0rhIqKtxeNCO7",4,4,4,4,37,"sam","non-diagnostic","ND1",22,1,6,5,4,1.21579098485356
"R_2zHdhW2CtX5qWFd",1,1,1,3,0,"sam","non-diagnostic","ND1",22,1,2,2,1.5,-1.29862152055525
"R_1nSAgMBDwa5bx03",2,2,4,4,21,"sam","non-diagnostic","ND1",20,1,1,2,3,0.173139931371089
"R_29IxMZzQJVdgyyZ",3,1,4,2,30,"sam","non-diagnostic","ND1",21,2,7,5,2.5,0.174366798314936
"R_rjrgGBbsEt8EUAV",2,3,2,2,27,"sam","non-diagnostic","ND1",20,1,5,2,2.25,-0.0555575889565597
"R_1pXLChFhdy1POSJ",1,1,1,1,1,"sam","non-diagnostic","ND1",19,2,7,2,1,-1.54330166240439
"R_71fIT5gWzAohdVT",1,1,3,1,8,"sam","non-diagnostic","ND1",18,2,7,5,1.5,-1.05271451176227
"R_3sc93x9Lx1dr87A",2,3,5,3,25,"sam","non-diagnostic","ND1",43,2,7,2,3.25,0.433802694741708
"R_UhwSe3QCnhIZVgR",1,2,4,5,5,"sam","non-diagnostic","ND1",19,1,7,5,3,-0.318674086214872
"R_3GANMJBV8H3rnuz",1,2,4,2,10,"sam","non-diagnostic","ND1",19,2,7,5,2.25,-0.578109982641644
"R_32PxGG5eD0x01TC",2,2,2,2,15,"sam","non-diagnostic","ND1",20,1,6,2,2,-0.562127361120159
"R_9uz4MJIsnh3jrQR",2,2,4,2,31,"sam","non-diagnostic","ND1",25,2,1,2,2.5,0.205105174414059
"R_czN6Qigc97HtlZL",1,2,5,3,31,"sam","non-diagnostic","ND1",24,2,5,5,2.75,0.342814433388187
"R_1gNGE5ykgUEDWcY",3,3,4,3,36,"sam","non-diagnostic","ND1",20,2,7,2,3.25,0.771924831832056
"R_vUp0wWKzEDv6He1",3,3,3,3,41,"sam","non-diagnostic","ND1",19,2,5,5,3,0.787907453353541
"R_24c1FvMygBLZIw8",3,4,4,3,59,"sam","non-diagnostic","ND1",23,2,5,5,3.5,1.616616741086
