"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_R_tot","age","gender","attn_chk_1Q","attn_chk_2_Q"
"R_1eJF4vxIrwCVoYc",3,3,4,3,40,"sam","non-diagnostic","ND1",3.25,2,2,1,2,18,"robin","non-diagnostic","ND2",1.75,3,2,5,3,30,"francis","diagnostic","NA",3.25,2,2,4,2,10,"alex","diagnostic","NA",2.5,21,1,7,5
"R_1mym8F7Z57DSOl7",1,1,6,2,28,"sam","non-diagnostic","ND1",2.5,1,1,1,2,0,"robin","diagnostic","NA",1.25,3,1,6,1,18,"francis","diagnostic","NA",2.75,1,1,6,1,11,"alex","non-diagnostic","ND2",2.25,38,1,5,2
"R_RQgwmWwMUl4Y5nb",1,1,1,1,7,"sam","non-diagnostic","ND1",1,1,1,1,1,6,"robin","non-diagnostic","ND2",1,1,1,1,1,13,"francis","diagnostic","NA",1,1,2,1,1,6,"alex","diagnostic","NA",1.25,23,1,7,5
"R_2X0rhIqKtxeNCO7",4,4,4,4,37,"sam","non-diagnostic","ND1",4,4,4,4,5,36,"robin","non-diagnostic","ND2",4.25,4,4,4,5,18,"francis","diagnostic","NA",4.25,4,4,5,4,22,"alex","diagnostic","NA",4.25,22,1,6,5
"R_2zHdhW2CtX5qWFd",1,1,1,3,0,"sam","non-diagnostic","ND1",1.5,1,1,1,1,9,"robin","diagnostic","NA",1,1,1,4,3,0,"francis","diagnostic","NA",2.25,1,1,1,1,0,"alex","non-diagnostic","ND2",1,22,1,2,2
"R_1nSAgMBDwa5bx03",2,2,4,4,21,"sam","non-diagnostic","ND1",3,3,3,2,3,17,"robin","diagnostic","NA",2.75,2,3,4,3,33,"francis","diagnostic","NA",3,2,2,4,3,21,"alex","non-diagnostic","ND2",2.75,20,1,1,2
"R_29IxMZzQJVdgyyZ",3,1,4,2,30,"sam","non-diagnostic","ND1",2.5,3,2,2,1,30,"robin","non-diagnostic","ND2",2,3,2,4,2,40,"francis","diagnostic","NA",2.75,2,1,2,1,25,"alex","diagnostic","NA",1.5,21,2,7,5
"R_rjrgGBbsEt8EUAV",2,3,2,2,27,"sam","non-diagnostic","ND1",2.25,3,3,5,2,23,"robin","diagnostic","NA",3.25,5,3,5,4,29,"francis","diagnostic","NA",4.25,2,2,6,3,23,"alex","non-diagnostic","ND2",3.25,20,1,5,2
"R_1pXLChFhdy1POSJ",1,1,1,1,1,"sam","non-diagnostic","ND1",1,1,3,1,4,22,"robin","non-diagnostic","ND2",2.25,4,5,2,1,6,"francis","diagnostic","NA",3,1,1,1,1,0,"alex","diagnostic","NA",1,19,2,7,2
"R_71fIT5gWzAohdVT",1,1,3,1,8,"sam","non-diagnostic","ND1",1.5,1,1,1,1,0,"robin","non-diagnostic","ND2",1,1,2,5,1,9,"francis","diagnostic","NA",2.25,1,1,1,1,0,"alex","diagnostic","NA",1,18,2,7,5
