"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","valence","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot","att1_fail","att2_fail","att_fail"
"R_10SDovHipkd86N6",7,7,7,7,100,"sam","non-diagnostic","ND1","good",19,2,7,2,7,1.35514806065684,FALSE,FALSE,FALSE
"R_2Bb5twOYFjz7B0y",7,7,7,7,100,"sam","non-diagnostic","ND1","good",20,1,7,2,7,1.35514806065684,FALSE,FALSE,FALSE
"R_1n8h7JFptou3x5a",5,6,2,5,85,"sam","non-diagnostic","ND1","good",19,2,7,2,4.5,0.483864581624569,FALSE,FALSE,FALSE
"R_1pMfQyjjeAcz7qM",7,7,7,7,100,"sam","non-diagnostic","ND1","good",19,1,6,2,7,1.35514806065684,TRUE,FALSE,FALSE
"R_QcXzAZfwJijg8vL",7,7,7,7,100,"sam","non-diagnostic","ND1","good",18,2,2,2,7,1.35514806065684,TRUE,FALSE,FALSE
"R_1mWXDEMZQ29zc4W",7,7,7,7,97,"sam","non-diagnostic","ND1","good",19,2,2,2,7,1.30572341870868,TRUE,FALSE,FALSE
"R_p5WtB2zq3EsaR69",7,7,7,7,90,"sam","non-diagnostic","ND1","good",18,2,5,2,7,1.19039925416299,TRUE,FALSE,FALSE
"R_bfrPEHDOhKNU0YF",7,7,7,7,95,"sam","non-diagnostic","ND1","good",18,3,7,2,7,1.27277365740991,FALSE,FALSE,FALSE
"R_6sdNFNLCdLwwNqh",5,5,6,6,79,"sam","non-diagnostic","ND1","good",18,2,7,2,5.5,0.634679405444861,FALSE,FALSE,FALSE
"R_eFqwdt8oLX46dIR",6,6,5,7,90,"sam","non-diagnostic","ND1","good",17,1,5,2,6,0.940735146446391,TRUE,FALSE,FALSE
"R_d5p58YZEanAJBXH",7,7,6,7,97,"sam","non-diagnostic","ND1","good",18,1,1,5,6.75,1.24330739177953,TRUE,FALSE,FALSE
"R_3fkEkXGl4OcCpAu",6,6,6,7,86,"sam","non-diagnostic","ND1","good",19,1,4,2,6.25,0.937251650778003,TRUE,FALSE,FALSE
"R_2ErRiFxR1vDw024",6,6,6,6,90,"sam","non-diagnostic","ND1","good",52,2,7,2,6,0.940735146446391,FALSE,FALSE,FALSE
"R_8d27RkxCw8YKmsh",7,7,7,6,87,"sam","non-diagnostic","ND1","good",25,2,5,2,6.75,1.07855858528569,TRUE,FALSE,FALSE
"R_3iL7GNs9sunk8UR",7,7,7,7,98,"sam","non-diagnostic","ND1","good",22,2,2,5,7,1.32219829935807,TRUE,FALSE,FALSE
"R_3fwy5E4KCfBdzPE",7,7,5,5,87,"sam","non-diagnostic","ND1","good",22,2,7,5,6,0.891310504498237,FALSE,FALSE,FALSE
"R_2CVV8zWX6mMvHng",6,5,5,6,78,"sam","non-diagnostic","ND1","good",24,2,2,5,5.5,0.618204524795477,TRUE,FALSE,FALSE
"R_2qqsfCTY8DZaAdv",7,1,1,1,95,"sam","non-diagnostic","ND1","good",22,1,2,2,2.5,0.149285172685216,TRUE,FALSE,FALSE
"R_4ONu92stbpKK1J7",7,7,6,7,90,"sam","non-diagnostic","ND1","good",17,1,4,5,6.75,1.12798322723384,TRUE,FALSE,FALSE
"R_3KBkHxT3C52iNqq",7,7,7,7,91,"sam","non-diagnostic","ND1","good",26,5,7,5,7,1.20687413481238,FALSE,FALSE,FALSE
"R_CleAgQKC1lRPQ9H",6,5,7,6,85,"sam","non-diagnostic","ND1","good",19,2,2,5,6,0.858360743199468,TRUE,FALSE,FALSE
"R_2nHTYZz23SYvkyJ",7,7,7,7,99,"sam","non-diagnostic","ND1","good",18,1,7,5,7,1.33867318000745,FALSE,FALSE,FALSE
"R_BSsl2IBjz3gekw1",5,5,5,6,80,"sam","non-diagnostic","ND1","good",NA,NA,7,NA,5.25,0.588738259165096,FALSE,NA,FALSE
"R_2WvapPd05LsAbjr",7,6,6,7,90,"sam","non-diagnostic","ND1","good",19,2,7,2,6.5,1.06556720030469,FALSE,FALSE,FALSE
"R_32RxK4UfFCGqx1S",7,7,7,7,100,"sam","non-diagnostic","ND1","good",19,1,7,2,7,1.35514806065684,FALSE,FALSE,FALSE
"R_OHyOjofCUMKbcZ3",7,5,4,5,73,"sam","non-diagnostic","ND1","good",19,2,2,2,5.25,0.473414094619404,TRUE,FALSE,FALSE
"R_2zOU6ncFdxQNv90",6,6,5,4,64,"sam","non-diagnostic","ND1","good",18,2,7,5,5.25,0.325140168774943,FALSE,FALSE,FALSE
