"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","valence","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot","att1_fail","att2_fail","att_fail"
"R_vkvv7x21s4MTdgB",7,6,4,5,80,"sam","non-diagnostic","ND1","good",21,1,2,1,5.5,0.651154286094246,TRUE,TRUE,TRUE
"R_2fJpJKJuvFT3uHU",5,6,5,6,74,"sam","non-diagnostic","ND1","good",35,1,1,1,5.5,0.552305002197938,TRUE,TRUE,TRUE
"R_9LWn3eqUAvX3czv",5,6,5,6,80,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.651154286094246,TRUE,TRUE,TRUE
"R_308eoZ00zQSiu6e",5,6,5,6,81,"sam","non-diagnostic","ND1","good",35,1,1,1,5.5,0.66762916674363,TRUE,TRUE,TRUE
"R_21aG7aR6j20jlIC",6,7,7,7,90,"sam","non-diagnostic","ND1","good",30,1,1,3,6.75,1.12798322723384,TRUE,TRUE,TRUE
"R_2Tq3PXK6EMkybQm",4,3,2,3,65,"sam","non-diagnostic","ND1","good",32,1,2,1,3,-0.220129192938021,TRUE,TRUE,TRUE
"R_YcvrUZHSwSHa97b",6,6,5,6,77,"sam","non-diagnostic","ND1","good",38,1,1,1,5.75,0.664145671075242,TRUE,TRUE,TRUE
"R_1IW4qWmKEq7ZVzX",6,5,6,6,80,"sam","non-diagnostic","ND1","good",36,2,2,1,5.75,0.713570313023395,TRUE,TRUE,TRUE
"R_1FslKqBLvWgb6rY",5,6,6,6,83,"sam","non-diagnostic","ND1","good",32,1,1,3,5.75,0.762994954971549,TRUE,TRUE,TRUE
"R_1HizoIZqvhov6bo",7,6,5,6,82,"sam","non-diagnostic","ND1","good",36,1,2,3,6,0.808936101251315,TRUE,TRUE,TRUE
"R_3Jeifr7xr3ebmMS",6,5,6,5,82,"sam","non-diagnostic","ND1","good",35,2,3,3,5.5,0.684104047393015,TRUE,TRUE,TRUE
"R_3iDxR5birdKJzr1",5,6,6,5,81,"sam","non-diagnostic","ND1","good",32,1,1,4,5.5,0.66762916674363,TRUE,TRUE,TRUE
"R_3lY7lEWO7Ox4u15",5,6,5,6,77,"sam","non-diagnostic","ND1","good",36,1,2,3,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_30wTNgmKUAabsrD",6,7,5,7,84,"sam","non-diagnostic","ND1","good",37,2,1,1,6.25,0.904301889479234,TRUE,TRUE,TRUE
"R_1jAI26ua9Ul9eRD",6,7,5,6,75,"sam","non-diagnostic","ND1","good",37,2,1,1,6,0.693611936705623,TRUE,TRUE,TRUE
"R_1FkRUWnVjR6ljNB",6,7,6,7,84,"sam","non-diagnostic","ND1","good",34,2,1,1,6.5,0.966717916408383,TRUE,TRUE,TRUE
"R_2Yukdw6QoQ4m0r4",6,5,6,6,82,"sam","non-diagnostic","ND1","good",36,1,1,1,5.75,0.746520074322165,TRUE,TRUE,TRUE
"R_basTQ7J3tbj7f7X",6,5,6,6,87,"sam","non-diagnostic","ND1","good",36,1,1,1,5.75,0.828894477569087,TRUE,TRUE,TRUE
"R_D0jumzUIqIlz5tL",6,6,7,6,88,"sam","non-diagnostic","ND1","good",36,1,1,1,6.25,0.970201412076772,TRUE,TRUE,TRUE
"R_2CryHkUCU3rKrIm",6,5,6,6,82,"sam","non-diagnostic","ND1","good",40,1,2,3,5.75,0.746520074322165,TRUE,TRUE,TRUE
"R_yyB6wLGb9jXkdMZ",7,7,7,6,90,"sam","non-diagnostic","ND1","good",36,2,1,4,6.75,1.12798322723384,TRUE,TRUE,TRUE
"R_eeQi0Zcdg03iocp",7,6,6,7,84,"sam","non-diagnostic","ND1","good",36,1,1,1,6.5,0.966717916408383,TRUE,TRUE,TRUE
"R_1ON8pgZDUup32PK",6,6,7,5,81,"sam","non-diagnostic","ND1","good",35,1,1,1,6,0.79246122060193,TRUE,TRUE,TRUE
"R_31mCVY9nGf1u75t",4,3,2,3,54,"sam","non-diagnostic","ND1","good",36,1,1,1,3,-0.401352880081252,TRUE,TRUE,TRUE
"R_27PyFr9Mj463VY5",3,3,2,3,52,"sam","non-diagnostic","ND1","good",36,1,1,1,2.75,-0.496718668309171,TRUE,TRUE,TRUE
"R_tFYIuPyhKJmjhFD",7,6,6,7,84,"sam","non-diagnostic","ND1","good",23,2,3,3,6.5,0.966717916408383,TRUE,TRUE,TRUE
"R_sXuX2OJGaiv0w7v",7,7,6,7,84,"sam","non-diagnostic","ND1","good",32,2,2,4,6.75,1.02913394333753,TRUE,TRUE,TRUE
"R_Q6brlesEqii9AMV",5,6,5,6,77,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_u7Kvf2uq5MDe94B",5,6,5,6,77,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_2v2BY4rkDqIwNMA",7,6,6,7,84,"sam","non-diagnostic","ND1","good",36,1,1,1,6.5,0.966717916408383,TRUE,TRUE,TRUE
"R_2tL0RlpDZhajh11",6,6,7,6,79,"sam","non-diagnostic","ND1","good",36,1,1,1,6.25,0.821927486232311,TRUE,TRUE,TRUE
"R_273vYw5Jgwz22gv",6,6,5,7,84,"sam","non-diagnostic","ND1","good",36,1,1,1,6,0.841885862550084,TRUE,TRUE,TRUE
"R_1F9z5lOlc847LuD",6,6,6,6,86,"sam","non-diagnostic","ND1","good",35,1,2,4,6,0.874835623848853,TRUE,TRUE,TRUE
"R_2CjNuTy6vtcTdL2",6,7,5,6,80,"sam","non-diagnostic","ND1","good",35,1,1,1,6,0.775986339952545,TRUE,TRUE,TRUE
"R_eEwHD7jGa5eAVJn",5,6,5,6,77,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.601729644146092,TRUE,TRUE,TRUE
"R_1FSbfIrpElpMzWD",5,6,5,6,75,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_1hYlVqTEsY6vvdS",6,6,6,5,88,"sam","non-diagnostic","ND1","good",36,1,1,1,5.75,0.845369358218472,TRUE,TRUE,TRUE
"R_1eFtHIlQqznr4iU",6,7,6,7,86,"sam","non-diagnostic","ND1","good",36,1,1,1,6.5,0.999667677707152,TRUE,TRUE,TRUE
"R_2Xn5be4iVhCnpuT",6,7,6,7,87,"sam","non-diagnostic","ND1","good",36,1,1,1,6.5,1.01614255835654,TRUE,TRUE,TRUE
"R_das8CGRuYjFMarv",5,6,5,6,75,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.568779882847323,TRUE,TRUE,TRUE
"R_3EtM5PF6iwSYZKj",3,3,2,3,56,"sam","non-diagnostic","ND1","good",36,1,1,1,2.75,-0.430819145711632,TRUE,TRUE,TRUE
"R_3soWfJwloeqT4e7",7,7,7,7,100,"sam","non-diagnostic","ND1","good",27,1,2,4,7,1.35514806065684,TRUE,TRUE,TRUE
"R_AvAKDSfdL7oshlD",6,6,6,7,85,"sam","non-diagnostic","ND1","good",35,1,1,1,6.25,0.920776770128618,TRUE,TRUE,TRUE
"R_1fg8HEGfKps2IG1",5,6,5,6,78,"sam","non-diagnostic","ND1","good",36,1,1,3,5.5,0.618204524795477,TRUE,TRUE,TRUE
"R_sXwSvZlj1cNfVQJ",6,5,6,7,78,"sam","non-diagnostic","ND1","good",35,1,1,1,6,0.743036578653776,TRUE,TRUE,TRUE
"R_dgVmYNafKdI5XaN",6,5,6,6,86,"sam","non-diagnostic","ND1","good",35,1,1,1,5.75,0.812419596919703,TRUE,TRUE,TRUE
"R_3fNuLJxoJke1oBs",6,5,6,6,81,"sam","non-diagnostic","ND1","good",35,1,1,1,5.75,0.73004519367278,TRUE,TRUE,TRUE
"R_3jW0cuI0WzpZjQI",5,6,5,6,78,"sam","non-diagnostic","ND1","good",36,1,2,1,5.5,0.618204524795477,TRUE,TRUE,TRUE
"R_b2x7o74hpEnnpQd",5,6,5,6,76,"sam","non-diagnostic","ND1","good",36,1,1,3,5.5,0.585254763496707,TRUE,TRUE,TRUE
"R_2xQ2LRFWOCxuY5k",5,6,5,6,79,"sam","non-diagnostic","ND1","good",36,1,1,1,5.5,0.634679405444861,TRUE,TRUE,TRUE
"R_1KkbtJxPifUj6fL",6,5,6,6,84,"sam","non-diagnostic","ND1","good",35,1,1,1,5.75,0.779469835620934,TRUE,TRUE,TRUE
"R_2RRjwxCChrkoUcb",6,7,6,6,83,"sam","non-diagnostic","ND1","good",36,1,1,1,6.25,0.887827008829849,TRUE,TRUE,TRUE
"R_C238Cw0i8HX3Wmd",7,6,6,6,87,"sam","non-diagnostic","ND1","good",36,1,1,1,6.25,0.953726531427387,TRUE,TRUE,TRUE
