"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_valence","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_valence","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_valence","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_valence","alex_R_tot","age","gender","attn_chk_1Q","attn_chk_2_Q","att1_fail","att2_fail","att_fail"
"R_10SDovHipkd86N6",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","diagnostic","NA","bad",1,1,1,1,1,0,"alex","non-diagnostic","ND2","bad",1,19,2,7,2,FALSE,FALSE,FALSE
"R_2Bb5twOYFjz7B0y",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","diagnostic","NA","bad",1,1,1,1,1,0,"alex","non-diagnostic","ND2","bad",1,20,1,7,2,FALSE,FALSE,FALSE
"R_1n8h7JFptou3x5a",5,6,2,5,85,"sam","non-diagnostic","ND1","good",4.5,6,6,2,7,90,"robin","diagnostic","NA","good",5.25,1,1,3,1,20,"francis","diagnostic","NA","bad",1.5,2,1,3,2,25,"alex","non-diagnostic","ND2","bad",2,19,2,7,2,FALSE,FALSE,FALSE
"R_1pMfQyjjeAcz7qM",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","non-diagnostic","ND2","bad",1,1,1,1,1,0,"alex","diagnostic","NA","bad",1,19,1,6,2,TRUE,FALSE,FALSE
"R_QcXzAZfwJijg8vL",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,6,6,91,"robin","diagnostic","NA","good",6.5,1,1,2,1,0,"francis","non-diagnostic","ND2","bad",1.25,1,1,4,1,13,"alex","diagnostic","NA","bad",1.75,18,2,2,2,TRUE,FALSE,FALSE
"R_1mWXDEMZQ29zc4W",7,7,7,7,97,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,2,2,4,5,39,"francis","diagnostic","NA","bad",3.25,4,4,4,4,50,"alex","non-diagnostic","ND2","bad",4,19,2,2,2,TRUE,FALSE,FALSE
"R_p5WtB2zq3EsaR69",7,7,7,7,90,"sam","non-diagnostic","ND1","good",7,7,7,7,7,89,"robin","diagnostic","NA","good",7,1,1,2,2,8,"francis","diagnostic","NA","bad",1.5,4,2,4,4,21,"alex","non-diagnostic","ND2","bad",3.5,18,2,5,2,TRUE,FALSE,FALSE
"R_bfrPEHDOhKNU0YF",7,7,7,7,95,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,3,1,19,"francis","non-diagnostic","ND2","bad",1.5,1,1,3,1,20,"alex","diagnostic","NA","bad",1.5,18,3,7,2,FALSE,FALSE,FALSE
"R_6sdNFNLCdLwwNqh",5,5,6,6,79,"sam","non-diagnostic","ND1","good",5.5,6,6,7,6,89,"robin","diagnostic","NA","good",6.25,2,3,4,2,13,"francis","diagnostic","NA","bad",2.75,3,2,3,2,13,"alex","non-diagnostic","ND2","bad",2.5,18,2,7,2,FALSE,FALSE,FALSE
"R_eFqwdt8oLX46dIR",6,6,5,7,90,"sam","non-diagnostic","ND1","good",6,6,6,7,5,80,"robin","diagnostic","NA","good",6,2,2,2,2,10,"francis","diagnostic","NA","bad",2,1,1,1,2,5,"alex","non-diagnostic","ND2","bad",1.25,17,1,5,2,TRUE,FALSE,FALSE
"R_d5p58YZEanAJBXH",7,7,6,7,97,"sam","non-diagnostic","ND1","good",6.75,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,3,"francis","diagnostic","NA","bad",1,3,2,3,2,11,"alex","non-diagnostic","ND2","bad",2.5,18,1,1,5,TRUE,FALSE,FALSE
"R_3fkEkXGl4OcCpAu",6,6,6,7,86,"sam","non-diagnostic","ND1","good",6.25,6,7,7,7,90,"robin","diagnostic","NA","good",6.75,1,1,3,2,0,"francis","diagnostic","NA","bad",1.75,2,3,5,4,15,"alex","non-diagnostic","ND2","bad",3.5,19,1,4,2,TRUE,FALSE,FALSE
"R_2ErRiFxR1vDw024",6,6,6,6,90,"sam","non-diagnostic","ND1","good",6,6,6,6,6,92,"robin","diagnostic","NA","good",6,2,2,2,2,13,"francis","diagnostic","NA","bad",2,2,2,3,2,12,"alex","non-diagnostic","ND2","bad",2.25,52,2,7,2,FALSE,FALSE,FALSE
