"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","age","gender","Sample","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot"
"R_3HoWLgJxKVMx8k4",7,7,7,7,93,"sam","non-diagnostic","ND1",19,3,"student",7,5,7,0.873002110740702
"R_10Pjjjsb3k1H461",6,6,5,6,82,"sam","non-diagnostic","ND1",22,2,"student",7,5,5.75,-0.232050173377027
"R_3R1sUSkUT3CpR3J",7,7,7,6,90,"sam","non-diagnostic","ND1",33,1,"student",2,2,6.75,0.621929078539026
"R_bqGAUYZ7yHQW9y1",6,7,6,6,81,"sam","non-diagnostic","ND1",39,2,"student",5,2,6.25,0.00704835646768662
"R_2OJX2xB2zZmkwCn",7,7,6,7,100,"sam","non-diagnostic","ND1",20,2,"student",7,2,6.75,0.997711270765651
"R_1C7JvkQilg2i0vD",7,7,7,4,85,"sam","non-diagnostic","ND1",25,2,"student",7,2,6.25,0.157361233358337
"R_3m7ZW7MOpIlpuVt",7,6,6,7,85,"sam","non-diagnostic","ND1",21,2,"student",5,5,6.5,0.295699607892025
"R_3ElNCSHqGhs9c51",7,7,7,7,100,"sam","non-diagnostic","ND1",20,2,"student",7,2,7,1.13604964529934
"R_TjAvhvbWmfhxLt7",6,6,6,6,81,"sam","non-diagnostic","ND1",23,1,"student",7,2,6,-0.131290018066002
"R_1duB4xAhynLsZg1",5,6,6,6,80,"sam","non-diagnostic","ND1",21,2,"student",7,5,5.75,-0.307206611822352
"R_1LfuNm5e50gycW5",7,7,7,7,85,"sam","non-diagnostic","ND1",23,2,"student",7,2,7,0.572376356959401
"R_2tzLH1WngFBOXtB",6,5,4,5,50,"sam","non-diagnostic","ND1",42,2,"student",2,2,5,-1.84956831210329
"R_z1gLupG5xXMzDzj",7,7,7,7,100,"sam","non-diagnostic","ND1",19,1,"student",1,5,7,1.13604964529934
"R_3r39nxVRYe0ITAy",5,5,5,6,80,"sam","non-diagnostic","ND1",28,1,"student",5,5,5.25,-0.583883360889729
"R_aaZhqLYBU2GHiUh",6,6,6,6,70,"sam","non-diagnostic","ND1",18,3,"student",7,5,6,-0.54465042951529
"R_2SeouOHoDzU13uf",7,7,7,7,90,"sam","non-diagnostic","ND1",21,2,"student",7,5,7,0.760267453072714
"R_1o0RXJqHqcbv93F",6,7,6,6,85,"sam","non-diagnostic","ND1",20,2,"student",7,2,6.25,0.157361233358337
"R_2QXncmGHZCCnipN",7,7,6,7,81,"sam","non-diagnostic","ND1",55,1,"student",1,5,6.75,0.283725105535063
"R_3O2rrh7jsfWyJow",5,6,6,7,85,"sam","non-diagnostic","ND1",20,2,"student",7,2,6,0.0190228588246486
"R_1et42SBx1sj4yeA",7,7,7,7,100,"sam","non-diagnostic","ND1",39,1,"student",1,2,7,1.13604964529934
"R_1gpYw292iNt5jv6",7,7,7,7,98,"sam","non-diagnostic","ND1",21,2,"student",1,2,7,1.06089320685401
"R_3sh9EzPrKqqQmTM",5,6,6,5,90,"sam","non-diagnostic","ND1",19,2,"student",5,2,5.5,-0.069762794129415
"R_2OMVvlcv4uRxh9o",7,4,4,7,80,"sam","non-diagnostic","ND1",37,1,"student",7,2,5.5,-0.445544986356041
"R_1PTdT179GB28ynU",6,5,7,7,75,"sam","non-diagnostic","ND1",22,2,"student",2,2,6.25,-0.218420958868289
"R_1gcMMiU9DdsK1l4",6,6,6,6,85,"sam","non-diagnostic","ND1",21,2,"student",7,5,6,0.0190228588246486
"R_z6xUg4rrM2Kp841",7,7,7,7,86,"sam","non-diagnostic","ND1",22,2,"student",7,2,7,0.609954576182064
"R_3Ejtn27sLUVh5zr",7,7,7,7,100,"sam","non-diagnostic","ND1",46,2,"student",6,5,7,1.13604964529934
"R_1rkswCOIRUjW9Au",7,7,7,7,97,"sam","non-diagnostic","ND1",24,2,"student",7,5,7,1.02331498763135
"R_1K0wfRDPz7eiPII",6,6,6,6,82,"sam","non-diagnostic","ND1",22,2,"student",7,2,6,-0.093711798843339
"R_xhiyA4lor1hsX73",7,7,7,7,91,"sam","non-diagnostic","ND1",20,1,"student",7,2,7,0.797845672295377
"R_1rvRB3bUM9FoRJU",7,5,6,7,85,"sam","non-diagnostic","ND1",20,2,"student",7,2,6.25,0.157361233358337
"R_1qhdI0z1vZbYSCL",7,7,7,7,95,"sam","non-diagnostic","ND1",22,2,"student",7,2,7,0.948158549186027
"R_3m7wfirF9omsZdM",7,7,7,7,98,"sam","non-diagnostic","ND1",21,2,"student",7,2,7,1.06089320685401
"R_ZrhnQ4E6eMrLiCZ",6,6,7,6,90,"sam","non-diagnostic","ND1",22,2,"student",7,5,6.25,0.34525232947165
"R_2YFL90vKsbtVoO2",6,6,6,6,90,"sam","non-diagnostic","ND1",23,1,"student",7,2,6,0.206913954937961
"R_DAVPXgVOnkCjEjL",7,7,7,7,99,"sam","non-diagnostic","ND1",19,2,"student",1,2,7,1.09847142607668
"R_1rOgYopgqDRfzX2",7,7,6,7,100,"sam","non-diagnostic","ND1",19,2,"student",7,5,6.75,0.997711270765651
"R_25RE8jWLDf4Ve0e",7,7,7,7,100,"sam","non-diagnostic","ND1",21,2,"student",7,2,7,1.13604964529934
"R_110kSkq8iwgOVcV",6,6,4,6,82,"sam","non-diagnostic","ND1",50,2,"student",2,5,5.5,-0.370388547910715
"R_3iUVqPwLt5tTdQa",7,7,7,7,95,"sam","non-diagnostic","ND1",19,1,"student",7,2,7,0.948158549186027
"R_3fCO8cjlvpc0I95",7,6,7,6,88,"sam","non-diagnostic","ND1",19,2,"student",7,5,6.5,0.408434265560013
"R_2OGDWwrtTHIhwei",6,7,6,5,88,"sam","non-diagnostic","ND1",20,3,"student",7,2,6,0.131757516492636
"R_3mkT2aWvEX94uTM",7,7,1,7,81,"sam","non-diagnostic","ND1",21,2,"student",7,2,5.5,-0.407966767133378
"R_1MSUbnClp4Arzje",7,7,6,7,90,"sam","non-diagnostic","ND1",21,2,"student",7,2,6.75,0.621929078539026
"R_ZsMSSN9cotDK305",6,6,5,6,78,"sam","non-diagnostic","ND1",21,1,"student",7,2,5.75,-0.382363050267677
"R_3MssHNEWbrFq7f6",6,6,6,7,90,"sam","non-diagnostic","ND1",19,1,"student",7,2,6.25,0.34525232947165
"R_3ExQqmZ2sQ8OUW4",5,6,5,5,80,"sam","non-diagnostic","ND1",21,2,"student",7,2,5.25,-0.583883360889729
"R_1dBvvASeuYVVQaP",7,6,7,7,83,"sam","non-diagnostic","ND1",23,2,"student",7,2,6.75,0.358881543980388
"R_3PTt5SbSM9Uwdxg",7,7,7,6,79,"sam","non-diagnostic","ND1",19,1,"student",7,2,6.75,0.208568667089738
"R_Dd8rMq8j4Ek6MSd",6,4,6,4,87,"sam","non-diagnostic","ND1",34,1,"student",7,5,5,-0.459174200864779
"R_xsZVE9a2KRbglgJ",7,7,7,7,100,"sam","non-diagnostic","ND1",41,2,"student",6,2,7,1.13604964529934
"R_2CTklVJoixZHLyk",6,7,7,7,80,"sam","non-diagnostic","ND1",18,1,"student",7,2,6.75,0.2461468863124
"R_1eFXgT41gfqLWYV",7,7,1,7,80,"sam","non-diagnostic","ND1",19,2,"student",7,2,5.5,-0.445544986356041
"R_cNnic0zFcqnJXhv",6,6,7,6,82,"sam","non-diagnostic","ND1",19,2,"student",3,5,6.25,0.0446265756903492
"R_3ikfYs54xax5hjL",7,5,6,4,80,"sam","non-diagnostic","ND1",18,3,"student",7,5,5.5,-0.445544986356041
"R_3rUvJC8ac8Zlcmn",7,6,6,6,91,"sam","non-diagnostic","ND1",19,2,"student",7,5,6.25,0.382830548694312
"R_2qwmirW4dWNvXzs",7,7,7,7,84,"sam","non-diagnostic","ND1",20,2,"student",2,2,7,0.534798137736739
"R_2RWCFs3hTbi3aSY",5,5,4,5,60,"sam","non-diagnostic","ND1",29,2,"student",7,5,4.75,-1.61212449441036
"R_2dEEX5hZ992hUCB",7,7,6,5,88,"sam","non-diagnostic","ND1",18,1,"student",7,5,6.25,0.270095891026324
"R_1l3JWPL3GdWHIXO",6,6,6,6,80,"sam","non-diagnostic","ND1",22,2,"student",7,2,6,-0.168868237288664
"R_2PeaNGRlnNs3VSJ",7,7,7,7,87,"sam","non-diagnostic","ND1",18,1,"student",2,5,7,0.647532795404727
"R_2f9Xje6toaKaUaz",5,5,5,6,80,"sam","non-diagnostic","ND1",22,1,"student",6,2,5.25,-0.583883360889729
"R_3snWyjS1piFeUjc",7,6,7,6,95,"sam","non-diagnostic","ND1",21,1,"student",7,2,6.5,0.67148180011865
"R_2AKJ7iCFSiXXAuK",7,7,7,7,100,"sam","non-diagnostic","ND1",18,2,"student",7,2,7,1.13604964529934
"R_1EguvaMu3WXGhKx",7,7,7,7,95,"sam","non-diagnostic","ND1",18,2,"student",7,2,7,0.948158549186027
"R_2VfO5tJr8onwRTW",7,7,6,6,90,"sam","non-diagnostic","ND1",21,2,"student",7,5,6.5,0.483590704005338
"R_1pWPBYe39axAg17",7,6,4,7,90,"sam","non-diagnostic","ND1",22,2,"student",7,5,6,0.206913954937961
"R_1gkHo0LtS2YZk0K",6,6,6,7,80,"sam","non-diagnostic","ND1",19,2,"student",2,2,6.25,-0.0305298627549759
"R_3QJi2DAHRnqBhku",7,7,6,6,83,"sam","non-diagnostic","ND1",60,2,"student",1,2,6.5,0.2205431694467
"R_1laDcySdHrymTKF",6,5,5,6,65,"sam","non-diagnostic","ND1",19,1,"student",7,2,5.5,-1.00921827469598
"R_3JK2LfHoHoP079u",4,3,2,3,15,"sam","non-diagnostic","ND1",39,1,"student",5,2,3,-4.27151298116599
"R_1Nfcv1tCenz3YJc",7,7,7,7,89,"sam","non-diagnostic","ND1",32,2,"student",7,5,7,0.722689233850052
"R_C7xoktiIBc6WV57",7,7,7,7,100,"sam","non-diagnostic","ND1",19,2,"student",7,5,7,1.13604964529934
"R_w1Y5JlwRyJzLssx",7,7,7,7,94,"sam","non-diagnostic","ND1",20,1,"student",1,2,7,0.910580329963364
"R_3lYnZr5BcWBT8wk",6,6,6,6,62,"sam","non-diagnostic","ND1",51,1,"student",7,2,6,-0.84527618329659
"R_3NIiE6GGudXdz7Y",7,7,7,7,100,"sam","non-diagnostic","ND1",18,2,"student",4,2,7,1.13604964529934
"R_3VN4mnsuvV4lisF",7,7,4,7,75,"sam","non-diagnostic","ND1",56,2,"student",2,5,6.25,-0.218420958868289
"R_Y60GbYK8v9Wk7YJ",6,5,6,6,75,"sam","non-diagnostic","ND1",30,1,"student",7,5,5.75,-0.495097707935665
"R_1HhIJke1oz0JlhS",7,7,7,7,85,"sam","non-diagnostic","ND1",54,2,"student",2,5,7,0.572376356959401
"R_1ezPSXdbAyey6Ss",7,7,7,7,100,"sam","non-diagnostic","ND1",57,2,"student",7,5,7,1.13604964529934
"R_XEWdlylUzYSs5LX",6,6,4,6,71,"sam","non-diagnostic","ND1",28,1,"student",7,5,5.5,-0.783748959360003
"R_s6hx6eTLFcdsgsV",5,6,5,6,62,"sam","non-diagnostic","ND1",20,2,"student",7,5,5.5,-1.12195293236397
"R_6PTK9Yeq2tV29AR",7,7,7,7,100,"sam","non-diagnostic","ND1",22,1,"student",7,5,7,1.13604964529934
"R_1rcgtsX6k6GGg4Z",6,6,6,6,77,"sam","non-diagnostic","ND1",23,2,"student",7,2,6,-0.281602894956652
"R_6JS3kR4N5cEEKGd",7,7,7,7,100,"sam","non-diagnostic","ND1",21,2,"student",7,2,7,1.13604964529934
"R_0jr9hSPEj4blmIF",7,7,7,7,100,"sam","non-diagnostic","ND1",67,2,"student",7,2,7,1.13604964529934
"R_3J5e6n3qvjiOzHf",7,7,7,7,79,"sam","non-diagnostic","ND1",19,2,"student",7,2,7,0.346907041623426
"R_9FyMAvGtSgfILBL",7,7,1,7,87,"sam","non-diagnostic","ND1",20,2,"student",7,2,5.5,-0.182497451797403
"R_115vCYbwZ0Y8TiC",6,6,5,5,75,"sam","non-diagnostic","ND1",19,2,"student",5,2,5.5,-0.633436082469353
"R_1op9oGYc6RvrqwE",6,7,6,6,91,"sam","non-diagnostic","ND1",26,2,"student",7,5,6.25,0.382830548694312
