"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_R_tot","age","gender","Sample","attn_chk_1Q","attn_chk_2_Q"
"R_1YT6lwKf7TX4I7v",4,5,5,6,49,"sam","non-diagnostic","ND1",5,7,6,7,7,52,"robin","diagnostic","NA",6.75,4,6,6,7,54,"francis","diagnostic","NA",5.75,4,5,6,7,55,"alex","non-diagnostic","ND2",5.5,32,1,"student",6,1
"R_3HoWLgJxKVMx8k4",7,7,7,7,93,"sam","non-diagnostic","ND1",7,7,7,7,7,93,"robin","non-diagnostic","ND2",7,7,7,7,7,93,"francis","diagnostic","NA",7,7,7,7,7,92,"alex","diagnostic","NA",7,19,3,"student",7,5
"R_10Pjjjsb3k1H461",6,6,5,6,82,"sam","non-diagnostic","ND1",5.75,7,7,6,6,82,"robin","diagnostic","NA",6.5,6,7,5,6,82,"francis","diagnostic","NA",6,6,7,6,7,82,"alex","non-diagnostic","ND2",6.5,22,2,"student",7,5
"R_3R1sUSkUT3CpR3J",7,7,7,6,90,"sam","non-diagnostic","ND1",6.75,7,7,7,7,95,"robin","diagnostic","NA",7,7,7,7,7,97,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","non-diagnostic","ND2",7,33,1,"student",2,2
"R_bqGAUYZ7yHQW9y1",6,7,6,6,81,"sam","non-diagnostic","ND1",6.25,7,6,6,7,88,"robin","non-diagnostic","ND2",6.5,7,6,6,4,80,"francis","diagnostic","NA",5.75,6,6,6,6,83,"alex","diagnostic","NA",6,39,2,"student",5,2
"R_2OJX2xB2zZmkwCn",7,7,6,7,100,"sam","non-diagnostic","ND1",6.75,7,7,7,7,100,"robin","non-diagnostic","ND2",7,6,6,7,5,90,"francis","diagnostic","NA",6,7,7,7,7,100,"alex","diagnostic","NA",7,20,2,"student",7,2
"R_1C7JvkQilg2i0vD",7,7,7,4,85,"sam","non-diagnostic","ND1",6.25,6,6,6,7,84,"robin","non-diagnostic","ND2",6.25,6,6,6,4,87,"francis","diagnostic","NA",5.5,7,7,7,7,94,"alex","diagnostic","NA",7,25,2,"student",7,2
"R_3m7ZW7MOpIlpuVt",7,6,6,7,85,"sam","non-diagnostic","ND1",6.5,6,7,7,7,88,"robin","diagnostic","NA",6.75,6,7,7,6,93,"francis","diagnostic","NA",6.5,6,7,6,7,97,"alex","non-diagnostic","ND2",6.5,21,2,"student",5,5
"R_3ElNCSHqGhs9c51",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,6,7,100,"robin","non-diagnostic","ND2",6.75,7,7,7,7,100,"francis","diagnostic","NA",7,7,7,7,7,100,"alex","diagnostic","NA",7,20,2,"student",7,2
"R_TjAvhvbWmfhxLt7",6,6,6,6,81,"sam","non-diagnostic","ND1",6,6,6,6,6,80,"robin","non-diagnostic","ND2",6,7,7,5,5,86,"francis","diagnostic","NA",6,7,7,7,7,93,"alex","diagnostic","NA",7,23,1,"student",7,2
"R_1duB4xAhynLsZg1",5,6,6,6,80,"sam","non-diagnostic","ND1",5.75,6,6,6,6,80,"robin","non-diagnostic","ND2",6,6,6,6,6,80,"francis","diagnostic","NA",6,6,6,5,6,81,"alex","diagnostic","NA",5.75,21,2,"student",7,5
"R_1LfuNm5e50gycW5",7,7,7,7,85,"sam","non-diagnostic","ND1",7,7,7,4,7,90,"robin","diagnostic","NA",6.25,7,7,7,7,85,"francis","diagnostic","NA",7,6,7,7,7,85,"alex","non-diagnostic","ND2",6.75,23,2,"student",7,2
