"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","age","gender","Sample","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot"
"R_3fK2enV7tSJ3o8H",6,5,6,5,70,"sam","non-diagnostic","ND1",47,1,"MTurk",7,5,5.5,-0.688704686652547
"R_Z8FYwXiRCJYlebD",7,7,7,7,100,"sam","non-diagnostic","ND1",30,1,"MTurk",7,2,7,1.40416863987654
"R_3gTbMWAFfxYYlpj",6,6,6,6,60,"sam","non-diagnostic","ND1",45,1,"MTurk",7,2,6,-0.779886341345277
"R_10ryDne1foyg6v3",5,6,6,6,72,"sam","non-diagnostic","ND1",36,1,"MTurk",7,5,5.75,-0.45821338009473
"R_VUqWNWklSIBBTRD",5,5,6,6,68,"sam","non-diagnostic","ND1",45,1,"MTurk",7,5,5.5,-0.767585296339456
"R_3NOg6WJyidQq0tv",7,6,7,6,92,"sam","non-diagnostic","ND1",47,2,"MTurk",1,2,6.5,0.785424807387087
"R_23dg3YF7q9GZjQH",7,6,6,7,65,"sam","non-diagnostic","ND1",55,2,"MTurk",1,2,6.5,-0.279463423386187
"R_23fovW9g60gIr6H",6,7,6,7,84,"sam","non-diagnostic","ND1",30,1,"MTurk",7,5,6.5,0.46990236863945
"R_t0eX5o5y4YAinoB",7,6,7,6,76,"sam","non-diagnostic","ND1",29,1,"MTurk",7,3,6.5,0.154379929891814
"R_1hPWNn8VqWpOlVw",5,6,7,6,78,"sam","non-diagnostic","ND1",48,1,"MTurk",7,3,6,-0.0699608541630938
"R_9Kyi41YivVyaC1X",6,6,6,6,89,"sam","non-diagnostic","ND1",37,1,"MTurk",7,2,6,0.363882499114907
"R_3PBuV3Pl38ZADjS",7,7,7,7,100,"sam","non-diagnostic","ND1",30,2,"MTurk",7,2,7,1.40416863987654
"R_C2D0r63WEfnqtON",6,7,6,7,75,"sam","non-diagnostic","ND1",30,1,"MTurk",7,2,6.5,0.114939625048359
"R_3nOvNcl70xeVZFj",5,3,6,4,81,"sam","non-diagnostic","ND1",38,1,"MTurk",7,2,4.5,-0.86130412085818
"R_1EWCFqmK3wVbsIH",6,5,4,6,74,"sam","non-diagnostic","ND1",24,2,"MTurk",7,5,5.25,-0.682554164149637
