"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_R_tot","age","gender","Sample","attn_chk_1Q","attn_chk_2_Q"
"R_3fK2enV7tSJ3o8H",6,5,6,5,70,"sam","non-diagnostic","ND1",5.5,5,6,5,6,65,"robin","non-diagnostic","ND2",5.5,6,4,6,5,76,"francis","diagnostic","NA",5.25,5,6,5,6,70,"alex","diagnostic","NA",5.5,47,1,"MTurk",7,5
"R_Z8FYwXiRCJYlebD",7,7,7,7,100,"sam","non-diagnostic","ND1",7,7,7,7,7,100,"robin","diagnostic","NA",7,7,7,7,6,95,"francis","diagnostic","NA",6.75,7,7,7,7,100,"alex","non-diagnostic","ND2",7,30,1,"MTurk",7,2
"R_3gTbMWAFfxYYlpj",6,6,6,6,60,"sam","non-diagnostic","ND1",6,6,6,7,7,60,"robin","non-diagnostic","ND2",6.5,6,6,6,6,60,"francis","diagnostic","NA",6,6,6,6,6,60,"alex","diagnostic","NA",6,45,1,"MTurk",7,2
"R_10ryDne1foyg6v3",5,6,6,6,72,"sam","non-diagnostic","ND1",5.75,6,6,5,6,65,"robin","non-diagnostic","ND2",5.75,5,6,5,6,71,"francis","diagnostic","NA",5.5,6,7,6,7,68,"alex","diagnostic","NA",6.5,36,1,"MTurk",7,5
"R_C9sjqE6TghKpSxP",7,7,7,7,93,"sam","non-diagnostic","ND1",7,7,7,7,7,74,"robin","diagnostic","NA",7,6,6,6,6,89,"francis","diagnostic","NA",6,7,7,7,7,95,"alex","non-diagnostic","ND2",7,33,2,"MTurk",1,1
"R_VUqWNWklSIBBTRD",5,5,6,6,68,"sam","non-diagnostic","ND1",5.5,5,5,6,6,72,"robin","non-diagnostic","ND2",5.5,5,6,6,5,73,"francis","diagnostic","NA",5.5,5,6,5,7,65,"alex","diagnostic","NA",5.75,45,1,"MTurk",7,5
"R_3PhuWbFZJDEMSdj",7,6,7,6,100,"sam","non-diagnostic","ND1",6.5,7,6,7,6,86,"robin","diagnostic","NA",6.5,7,6,6,7,73,"francis","diagnostic","NA",6.5,7,7,6,7,87,"alex","non-diagnostic","ND2",6.75,55,2,"MTurk",1,3
"R_3NOg6WJyidQq0tv",7,6,7,6,92,"sam","non-diagnostic","ND1",6.5,7,6,7,6,95,"robin","non-diagnostic","ND2",6.5,7,6,7,6,100,"francis","diagnostic","NA",6.5,7,6,7,6,93,"alex","diagnostic","NA",6.5,47,2,"MTurk",1,2
"R_23dg3YF7q9GZjQH",7,6,6,7,65,"sam","non-diagnostic","ND1",6.5,6,7,6,7,77,"robin","non-diagnostic","ND2",6.5,6,7,6,7,80,"francis","diagnostic","NA",6.5,6,7,6,7,73,"alex","diagnostic","NA",6.5,55,2,"MTurk",1,2
"R_xfwhyxw8QpIN9SN",2,4,6,5,72,"sam","non-diagnostic","ND1",4.25,6,7,3,5,75,"robin","diagnostic","NA",5.25,6,5,7,5,83,"francis","diagnostic","NA",5.75,6,4,3,7,70,"alex","non-diagnostic","ND2",5,63,1,"MTurk",1,3
