"ResponseId","sam_R1","sam_R2","sam_R3","sam_R4","sam_M1","sam_scenario","sam_condition","sam_diagnostic12","sam_valence","sam_R_tot","robin_R1","robin_R2","robin_R3","robin_R4","robin_M1","robin_scenario","robin_condition","robin_diagnostic12","robin_valence","robin_R_tot","francis_R1","francis_R2","francis_R3","francis_R4","francis_M1","francis_scenario","francis_condition","francis_diagnostic12","francis_valence","francis_R_tot","alex_R1","alex_R2","alex_R3","alex_R4","alex_M1","alex_scenario","alex_condition","alex_diagnostic12","alex_valence","alex_R_tot","age","gender","attn_chk_1Q","attn_chk_2_Q"
"R_TnFDbCMGHnSexSp",6,4,3,4,29,"sam","non-diagnostic","ND1","good",4.25,6,4,4,5,71,"robin","diagnostic","NA","good",4.75,6,4,4,6,79,"francis","non-diagnostic","ND2","bad",5,3,6,4,4,73,"alex","diagnostic","NA","bad",4.25,22,1,7,2
"R_1DAt1qQF8luztIk",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","diagnostic","NA","bad",1,1,1,4,1,9,"alex","non-diagnostic","ND2","bad",1.75,43,2,7,2
"R_3DvTVJqdIxMHXGY",6,7,7,7,91,"sam","non-diagnostic","ND1","good",6.75,7,6,6,6,84,"robin","diagnostic","NA","good",6.25,5,5,5,5,82,"francis","non-diagnostic","ND2","bad",5,1,1,1,1,0,"alex","diagnostic","NA","bad",1,40,1,7,2
"R_3O6qzAKSMaW9hun",7,7,7,7,96,"sam","non-diagnostic","ND1","good",7,7,7,7,7,99,"robin","diagnostic","NA","good",7,1,1,2,2,10,"francis","non-diagnostic","ND2","bad",1.5,1,1,1,1,7,"alex","diagnostic","NA","bad",1,31,1,7,2
"R_5gtftCceIg36F3z",5,5,5,5,72,"sam","non-diagnostic","ND1","good",5,6,6,6,6,87,"robin","diagnostic","NA","good",6,4,4,4,4,36,"francis","non-diagnostic","ND2","bad",4,2,2,2,2,38,"alex","diagnostic","NA","bad",2,49,2,7,5
"R_C4tghJbbgEsoSWt",4,2,1,7,72,"sam","non-diagnostic","ND1","good",3.5,1,3,6,3,66,"robin","diagnostic","NA","good",3.25,1,6,6,6,68,"francis","non-diagnostic","ND2","bad",4.75,5,3,4,4,71,"alex","diagnostic","NA","bad",4,33,1,1,5
"R_2uZI3wKojZYcjGX",4,5,5,4,59,"sam","non-diagnostic","ND1","good",4.5,4,3,5,4,44,"robin","diagnostic","NA","good",4,4,4,3,4,47,"francis","diagnostic","NA","bad",3.75,3,3,2,4,30,"alex","non-diagnostic","ND2","bad",3,26,1,7,2
"R_1n8caYX1DzMMmWJ",7,7,7,7,100,"sam","non-diagnostic","ND1","good",7,7,7,7,7,100,"robin","diagnostic","NA","good",7,1,1,1,1,0,"francis","diagnostic","NA","bad",1,1,1,1,1,0,"alex","non-diagnostic","ND2","bad",1,55,2,7,5
"R_Q4DgLyhzTNX80F3",4,6,5,6,76,"sam","non-diagnostic","ND1","good",5.25,6,5,7,6,78,"robin","diagnostic","NA","good",6,3,5,4,6,77,"francis","non-diagnostic","ND2","bad",4.5,6,4,5,6,62,"alex","diagnostic","NA","bad",5.25,36,2,7,2
"R_334r8tMQC9dPHof",5,5,7,6,80,"sam","non-diagnostic","ND1","good",5.75,6,5,6,6,82,"robin","diagnostic","NA","good",5.75,6,5,4,6,77,"francis","non-diagnostic","ND2","bad",5.25,6,5,6,6,80,"alex","diagnostic","NA","bad",5.75,30,1,3,2
