"ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","valence","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot","M1R_tot"
"R_10SDovHipkd86N6",7,7,7,7,100,"sam","non-diagnostic","ND1","good",19,2,7,2,7,1.36944399583314
"R_2Bb5twOYFjz7B0y",7,7,7,7,100,"sam","non-diagnostic","ND1","good",20,1,7,2,7,1.36944399583314
"R_1n8h7JFptou3x5a",5,6,2,5,85,"sam","non-diagnostic","ND1","good",19,2,7,2,4.5,0.489358257389214
"R_1pMfQyjjeAcz7qM",7,7,7,7,100,"sam","non-diagnostic","ND1","good",19,1,6,2,7,1.36944399583314
"R_QcXzAZfwJijg8vL",7,7,7,7,100,"sam","non-diagnostic","ND1","good",18,2,2,2,7,1.36944399583314
"R_1mWXDEMZQ29zc4W",7,7,7,7,97,"sam","non-diagnostic","ND1","good",19,2,2,2,7,1.31913024572565
"R_p5WtB2zq3EsaR69",7,7,7,7,90,"sam","non-diagnostic","ND1","good",18,2,5,2,7,1.20173149547484
"R_bfrPEHDOhKNU0YF",7,7,7,7,95,"sam","non-diagnostic","ND1","good",18,3,7,2,7,1.28558774565399
"R_6sdNFNLCdLwwNqh",5,5,6,6,79,"sam","non-diagnostic","ND1","good",18,2,7,2,5.5,0.640137552336822
"R_eFqwdt8oLX46dIR",6,6,5,7,90,"sam","non-diagnostic","ND1","good",17,1,5,2,6,0.950324700312246
"R_d5p58YZEanAJBXH",7,7,6,7,97,"sam","non-diagnostic","ND1","good",18,1,1,5,6.75,1.256278546935
"R_3fkEkXGl4OcCpAu",6,6,6,7,86,"sam","non-diagnostic","ND1","good",19,1,4,2,6.25,0.946091398959574
"R_2ErRiFxR1vDw024",6,6,6,6,90,"sam","non-diagnostic","ND1","good",52,2,7,2,6,0.950324700312246
"R_8d27RkxCw8YKmsh",7,7,7,6,87,"sam","non-diagnostic","ND1","good",25,2,5,2,6.75,1.0885660465767
"R_3iL7GNs9sunk8UR",7,7,7,7,98,"sam","non-diagnostic","ND1","good",22,2,2,5,7,1.33590149576148
"R_3fwy5E4KCfBdzPE",7,7,5,5,87,"sam","non-diagnostic","ND1","good",22,2,7,5,6,0.900010950204757
"R_2CVV8zWX6mMvHng",6,5,5,6,78,"sam","non-diagnostic","ND1","good",24,2,2,5,5.5,0.623366302300993
