StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consentQ,PID,age,gender,gender_4_TEXT,S_ND1_R_1,S_ND1_R_2,S_ND1_R_3,S_ND1_R_4,S_ND1_M_1,R_ND2_R_1,R_ND2_R_2,R_ND2_R_3,R_ND2_R_4,R_ND2_M_1,F_M_R_1,F_M_R_2,F_M_R_3,F_M_R_4,F_M_M_1,A_M_R_1,A_M_R_2,A_M_R_3,A_M_R_4,A_M_M_1,attn_chk_1Q,attn_chk_2_Q,S_ND2_R_1,S_ND2_R_2,S_ND2_R_3,S_ND2_R_4,S_ND2_M_1,R_M_R_1,R_M_R_2,R_M_R_3,R_M_R_4,R_M_M_1,F_ND1_R_1,F_ND1_R_2,F_ND1_R_3,F_ND1_R_4,F_ND1_M_1,A_ND2_R_1,A_ND2_R_2,A_ND2_R_3,A_ND2_R_4,A_ND2_M_1,S_M_R_1,S_M_R_2,S_M_R_3,S_M_R_4,S_M_M_1,R_ND1_R_1,R_ND1_R_2,R_ND1_R_3,R_ND1_R_4,R_ND1_M_1,F_ND2_R_1,F_ND2_R_2,F_ND2_R_3,F_ND2_R_4,F_ND2_M_1,A_ND1_R_1,A_ND1_R_2,A_ND1_R_3,A_ND1_R_4,A_ND1_M_1,previous_version,Sample
2022-03-14 04:28:15,2022-03-14 04:30:00,1,,100,104,1,2022-03-14 04:30:01,R_3IYxz7FyMSRLDri,,,,,,,preview,EN,1,,32,1,,,,,,,,,,,,,,,,,4,5,6,6,53,3,1,5,6,5,6,57,5,6,5,6,54,5,6,5,6,40,,,,,,,,,,,,,,,,,,,,,,,,,,,student
2022-03-14 04:43:06,2022-03-14 04:44:54,1,,100,107,1,2022-03-14 04:44:54,R_1YT6lwKf7TX4I7v,,,,,,,preview,EN,1,,32,1,,4,5,5,6,49,,,,,,4,6,6,7,54,,,,,,6,1,,,,,,7,6,7,7,52,,,,,,4,5,6,7,55,,,,,,,,,,,,,,,,,,,,,,student
2022-03-14 04:46:02,2022-03-14 04:47:13,1,,100,70,1,2022-03-14 04:47:14,R_1LTl2tXUHyzlh3o,,,,,,,preview,EN,1,,32,1,,,,,,,,,,,,6,6,5,6,55,,,,,,4,1,,,,,,,,,,,,,,,,3,4,5,6,53,6,7,7,6,53,6,7,6,5,59,,,,,,,,,,,3,student
2022-03-14 04:48:01,2022-03-14 05:06:42,0,,100,1121,1,2022-03-14 05:06:43,R_262RdHmq4lgbrf8,,,,,,,anonymous,EN,1,,32,1,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,5,5,5,5,60,,,,,,,,,,,,,,,,,,,,,5,5,5,5,54,5,6,5,6,53,2,student
2022-03-14 05:39:29,2022-03-14 05:41:15,0,,100,106,1,2022-03-14 05:41:16,R_2YnXxJkV0Z2MROO,,,,,,,anonymous,EN,1,,20,2,,,,,,,,,,,,,,,,,7,7,5,7,84,5,2,,,,,,,,,,,,,,,,,,,,,7,7,7,7,79,7,7,7,7,87,7,7,7,7,98,,,,,,2,student
2022-03-14 05:39:41,2022-03-14 05:41:50,0,,100,128,1,2022-03-14 05:41:50,R_55VAboO8jVUt3Sp,,,,,,,anonymous,EN,1,,21,2,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,6,6,7,6,100,,,,,,,,,,,7,6,6,6,97,,,,,,,,,,,6,6,5,6,95,3,student
2022-03-14 05:39:37,2022-03-14 05:42:18,0,,100,160,1,2022-03-14 05:42:18,R_23VpFbGUkrOCq2K,,,,,,,anonymous,EN,1,,21,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,,,,,,,,,,,,,7,7,7,7,100,,,,,,7,7,7,7,100,7,7,7,7,100,3,student
2022-03-14 05:39:37,2022-03-14 05:42:25,0,,100,168,1,2022-03-14 05:42:26,R_3GjshRJlF6jZ5Nu,,,,,,,anonymous,EN,1,,19,3,,,,,,,,,,,,,,,,,6,6,5,6,73,5,2,6,6,6,6,78,6,6,5,7,77,5,5,4,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:39:35,2022-03-14 05:42:27,0,,100,172,1,2022-03-14 05:42:27,R_3HoWLgJxKVMx8k4,,,,,,,anonymous,EN,1,,19,3,,7,7,7,7,93,7,7,7,7,93,7,7,7,7,93,7,7,7,7,92,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:39:37,2022-03-14 05:42:44,0,,100,186,1,2022-03-14 05:42:44,R_31mVQnqgoolXbrG,,,,,,,anonymous,EN,1,,19,2,,,,,,,,,,,,,,,,,7,7,7,7,100,2,2,,,,,,,,,,,,,,,,,,,,,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,,,,,,1,student
2022-03-14 05:39:30,2022-03-14 05:42:50,0,,100,199,1,2022-03-14 05:42:50,R_2bZqPrUCEmsWwkz,,,,,,,anonymous,EN,1,,19,1,,,,,,,,,,,,7,7,7,5,90,,,,,,7,2,,,,,,,,,,,,,,,,5,6,4,4,66,7,7,7,7,100,6,6,4,4,73,,,,,,,,,,,2,student
2022-03-14 05:40:06,2022-03-14 05:42:51,0,,100,165,1,2022-03-14 05:42:51,R_10Pjjjsb3k1H461,,,,,,,anonymous,EN,1,,22,2,,6,6,5,6,82,,,,,,6,7,5,6,82,,,,,,7,5,,,,,,7,7,6,6,82,,,,,,6,7,6,7,82,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:39:37,2022-03-14 05:43:00,0,,100,202,1,2022-03-14 05:43:01,R_11iNpUvDeJuR4dL,,,,,,,anonymous,EN,1,,24,1,,,,,,,,,,,,,,,,,6,6,5,7,95,7,5,6,6,7,6,95,6,7,7,6,100,6,7,7,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 05:40:37,2022-03-14 05:43:44,0,,100,187,1,2022-03-14 05:43:44,R_3R1sUSkUT3CpR3J,,,,,,,anonymous,EN,1,,33,1,,7,7,7,6,90,,,,,,7,7,7,7,97,,,,,,2,2,,,,,,7,7,7,7,95,,,,,,7,7,7,7,100,,,,,,,,,,,,,,,,,,,,,3,student
2022-03-14 05:41:30,2022-03-14 05:43:54,0,,100,143,1,2022-03-14 05:43:54,R_1C75Yd2qmqCnkyd,,,,,,,anonymous,EN,1,,20,1,,,,,,,,,,,,7,7,7,7,100,,,,,,7,2,,,,,,,,,,,,,,,,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,,,,,,,,,,,2,student
2022-03-14 05:40:04,2022-03-14 05:44:43,0,,100,278,1,2022-03-14 05:44:43,R_bqGAUYZ7yHQW9y1,,,,,,,anonymous,EN,1,,39,2,,6,7,6,6,81,7,6,6,7,88,7,6,6,4,80,6,6,6,6,83,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:40:50,2022-03-14 05:45:02,0,,100,251,1,2022-03-14 05:45:02,R_3h42FHalnKsanV4,,,,,,,anonymous,EN,1,,21,1,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,7,7,7,7,100,,,,,,,,,,,7,7,1,7,100,,,,,,,,,,,7,7,7,7,100,2,student
2022-03-14 05:41:58,2022-03-14 05:45:13,0,,100,194,1,2022-03-14 05:45:13,R_a2xpV0wtH00wyDT,,,,,,,anonymous,EN,1,,24,2,,,,,,,,,,,,,,,,,6,6,6,6,86,7,2,,,,,,,,,,,,,,,,,,,,,7,7,7,7,90,6,6,6,6,82,5,5,5,5,79,,,,,,2,student
2022-03-14 05:40:33,2022-03-14 05:45:15,0,,100,281,1,2022-03-14 05:45:15,R_1M5tu45l6DLoVfL,,,,,,,anonymous,EN,1,,37,1,,,,,,,,,,,,,,,,,7,7,7,7,100,7,2,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 05:41:31,2022-03-14 05:45:20,0,,100,228,1,2022-03-14 05:45:20,R_7P9XoCGCan7Cul3,,,,,,,anonymous,EN,1,,38,2,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,7,7,7,7,90,,,,,,,,,,,6,6,6,6,80,,,,,,7,7,7,7,90,7,7,7,7,90,1,student
2022-03-14 05:40:18,2022-03-14 05:45:30,0,,100,312,1,2022-03-14 05:45:30,R_vq9AaGUCDq1PMvT,,,,,,,anonymous,EN,1,,23,2,,,,,,,,,,,,,,,,,7,6,5,7,80,7,2,,,,,,,,,,,,,,,,,,,,,6,3,5,6,50,7,5,7,7,70,5,5,6,5,51,,,,,,2,student
2022-03-14 05:42:57,2022-03-14 05:45:56,0,,100,179,1,2022-03-14 05:45:56,R_3IYoNayeT7IpBLL,,,,,,,anonymous,EN,1,,22,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,5,5,5,5,55,,,,,,,,,,,5,5,5,5,57,,,,,,5,5,5,6,67,,,,,,2,student
2022-03-14 05:41:49,2022-03-14 05:45:58,0,,100,249,1,2022-03-14 05:45:59,R_2zdytoS5ztPte7r,,,,,,,anonymous,EN,1,,23,2,,,,,,,,,,,,,,,,,7,7,7,7,95,7,2,6,7,7,6,94,7,7,7,7,98,5,6,5,6,80,,,,,,,,,,,,,,,,,,,,,,,,,,1,student
2022-03-14 05:44:19,2022-03-14 05:46:31,0,,100,132,1,2022-03-14 05:46:32,R_273jgo0b1Lcveyz,,,,,,,anonymous,EN,1,,27,2,,,,,,,,,,,,5,5,5,5,73,,,,,,2,2,,,,,,,,,,,,,,,,5,5,5,5,85,5,5,5,5,86,5,5,5,5,79,,,,,,,,,,,1,student
2022-03-14 05:43:02,2022-03-14 05:46:40,0,,100,218,1,2022-03-14 05:46:40,R_5guAriNnBKIF2Nj,,,,,,,anonymous,EN,1,,24,2,,,,,,,,,,,,6,6,6,6,60,,,,,,1,3,,,,,,,,,,,,,,,,5,6,5,6,76,7,7,7,7,86,7,7,7,6,91,,,,,,,,,,,2,student
2022-03-14 05:43:18,2022-03-14 05:46:46,0,,100,208,1,2022-03-14 05:46:46,R_2OJX2xB2zZmkwCn,,,,,,,anonymous,EN,1,,20,2,,7,7,6,7,100,7,7,7,7,100,6,6,7,5,90,7,7,7,7,100,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 05:44:39,2022-03-14 05:46:49,0,,100,130,1,2022-03-14 05:46:50,R_8DhR5fZDZ9jdZ8B,,,,,,,anonymous,EN,1,,22,2,,,,,,,,,,,,,,,,,7,7,7,7,90,5,5,7,7,7,7,91,7,7,7,7,89,7,7,7,7,91,,,,,,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 05:41:47,2022-03-14 05:46:49,0,,100,302,1,2022-03-14 05:46:50,R_1C7JvkQilg2i0vD,,,,,,,anonymous,EN,1,,25,2,,7,7,7,4,85,6,6,6,7,84,6,6,6,4,87,7,7,7,7,94,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,student
2022-03-14 05:43:10,2022-03-14 05:47:03,0,,100,232,1,2022-03-14 05:47:03,R_DOwUROQV1jm042B,,,,,,,anonymous,EN,1,,24,2,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,6,7,6,6,90,,,,,,,,,,,6,7,6,6,90,,,,,,5,6,6,5,80,6,7,6,6,90,1,student
2022-03-14 05:39:39,2022-03-14 05:47:04,0,,100,444,1,2022-03-14 05:47:04,R_3m7ZW7MOpIlpuVt,,,,,,,anonymous,EN,1,,21,2,,7,6,6,7,85,,,,,,6,7,7,6,93,,,,,,5,5,,,,,,6,7,7,7,88,,,,,,6,7,6,7,97,,,,,,,,,,,,,,,,,,,,,1,student
