StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consentQ,PID,age,gender,gender_4_TEXT,S_ND1_R_1,S_ND1_R_2,S_ND1_R_3,S_ND1_R_4,S_ND1_M_1,R_ND2_R_1,R_ND2_R_2,R_ND2_R_3,R_ND2_R_4,R_ND2_M_1,F_M_R_1,F_M_R_2,F_M_R_3,F_M_R_4,F_M_M_1,A_M_R_1,A_M_R_2,A_M_R_3,A_M_R_4,A_M_M_1,attn_chk_1Q,attn_chk_2_Q,S_ND2_R_1,S_ND2_R_2,S_ND2_R_3,S_ND2_R_4,S_ND2_M_1,R_M_R_1,R_M_R_2,R_M_R_3,R_M_R_4,R_M_M_1,F_ND1_R_1,F_ND1_R_2,F_ND1_R_3,F_ND1_R_4,F_ND1_M_1,A_ND2_R_1,A_ND2_R_2,A_ND2_R_3,A_ND2_R_4,A_ND2_M_1,S_M_R_1,S_M_R_2,S_M_R_3,S_M_R_4,S_M_M_1,R_ND1_R_1,R_ND1_R_2,R_ND1_R_3,R_ND1_R_4,R_ND1_M_1,F_ND2_R_1,F_ND2_R_2,F_ND2_R_3,F_ND2_R_4,F_ND2_M_1,A_ND1_R_1,A_ND1_R_2,A_ND1_R_3,A_ND1_R_4,A_ND1_M_1,previous_version,Sample
2022-04-04 10:35:47,2022-04-04 11:17:50,1,,100,2522,1,2022-04-04 11:17:50,R_325SwMuLwIDPjCO,,,,,,,preview,EN,1,rar,33,1,,4,4,4,4,50,,,,,,4,4,4,4,50,,,,,,7,2,,,,,,4,4,4,4,38,,,,,,4,4,4,4,50,,,,,,,,,,,,,,,,,,,,,3,MTurk
2022-04-04 11:38:49,2022-04-04 11:40:10,0,,100,80,1,2022-04-04 11:40:10,R_1jZWz1orWcGBLE5,,,,,,,anonymous,EN,1,A2GZNOA5CIVKUB,28,2,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,6,7,7,7,77,,,,,,,,,,,7,6,6,7,92,,,,,,,,,,,7,6,6,7,92,2,MTurk
2022-04-04 11:38:15,2022-04-04 11:40:11,0,,100,116,1,2022-04-04 11:40:12,R_tY8qodZmoaJCZJT,,,,,,,anonymous,EN,1,AAQ3J9OI2GC8I,29,1,,,,,,,,,,,,4,5,3,4,98,,,,,,7,1,,,,,,,,,,,,,,,,4,6,5,6,71,6,3,5,4,77,4,5,6,5,74,,,,,,,,,,,2,MTurk
2022-04-04 11:38:28,2022-04-04 11:40:25,0,,100,116,1,2022-04-04 11:40:25,R_3HSaPOvCBdjETiB,,,,,,,anonymous,EN,1,A3SUDYDNOPTMGX,31,5,,,,,,,,,,,,,,,,,7,7,7,7,100,7,2,7,7,7,7,100,7,7,7,7,100,7,7,7,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:55,2022-04-04 11:40:33,0,,100,97,1,2022-04-04 11:40:33,R_4NGwtjbEp1RP46l,,,,,,,anonymous,EN,1,A17JG931AT38CO,36,2,,,,,,,,,,,,,,,,,5,4,5,4,50,7,2,5,4,5,4,50,5,4,5,4,50,4,5,4,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:46,2022-04-04 11:40:37,0,,100,110,1,2022-04-04 11:40:38,R_2tthawW0rf2ZbE1,,,,,,,anonymous,EN,1,ASH7SVFWH0KT1,25,1,,,,,,,,,,,,3,2,2,1,51,,,,,,7,2,,,,,,,,,,,,,,,,5,4,7,1,52,2,1,3,1,53,5,4,4,4,43,,,,,,,,,,,3,MTurk
2022-04-04 11:39:50,2022-04-04 11:40:38,0,,100,48,1,2022-04-04 11:40:38,R_pyj3eM98AIT9UwF,,,,,,,anonymous,EN,1,A2T11H7YI7QPGD,31,1,,,,,,,,,,,,,,,,,6,4,4,7,39,7,2,,,,,,,,,,,,,,,,,,,,,6,6,5,7,67,5,6,5,7,32,6,3,5,7,66,,,,,,2,MTurk
2022-04-04 11:38:32,2022-04-04 11:40:40,0,,100,127,1,2022-04-04 11:40:40,R_2CqAGTvxUfioSsQ,,,,,,,anonymous,EN,1,A1BHJYSEFJ7APX,28,1,,7,5,6,6,94,,,,,,7,6,7,6,90,,,,,,4,1,,,,,,7,6,7,6,96,,,,,,7,6,6,7,90,,,,,,,,,,,,,,,,,,,,,1,MTurk
2022-04-04 11:38:23,2022-04-04 11:40:40,0,,100,137,1,2022-04-04 11:40:41,R_1kTUd7Wpn8Lis9X,,,,,,,anonymous,EN,1,AGKCK081EU63R,55,1,,6,6,6,6,85,6,6,6,6,86,6,6,6,6,86,6,6,6,6,85,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,MTurk
2022-04-04 11:38:58,2022-04-04 11:40:54,0,,100,116,1,2022-04-04 11:40:55,R_2ZERpeVSkeqRLzA,,,,,,,anonymous,EN,1,A11042NCTA8PGT,35,1,,,,,,,,,,,,7,7,7,7,90,,,,,,7,2,,,,,,,,,,,,,,,,7,7,7,7,90,7,7,7,7,90,7,7,7,7,90,,,,,,,,,,,2,MTurk
