StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consentQ,age,gender,gender_4_TEXT,S_G_M_R_1,S_G_M_R_2,S_G_M_R_3,S_G_M_R_4,S_G_M_M_1,R_G_ND1_R_1,R_G_ND1_R_2,R_G_ND1_R_3,R_G_ND1_R_4,R_G_ND1_M_1,A_B_M_R_1,A_B_M_R_2,A_B_M_R_3,A_B_M_R_4,A_B_M_M_1,F_B_ND2_R_1,F_B_ND2_R_2,F_B_ND2_R_3,F_B_ND2_R_4,F_B_ND2_M_1,attn_chk_1Q,attn_chk_2_Q,S_G_ND1_R_1,S_G_ND1_R_2,S_G_ND1_R_3,S_G_ND1_R_4,S_G_ND1_M_1,R_G_M_R_1,R_G_M_R_2,R_G_M_R_3,R_G_M_R_4,R_G_M_M_1,A_B_ND2_R_1,A_B_ND2_R_2,A_B_ND2_R_3,A_B_ND2_R_4,A_B_ND2_M_1,F_B_M_R_1,F_B_M_R_2,F_B_M_R_3,F_B_M_R_4,F_B_M_M_1,R_G_ND2_R_1,R_G_ND2_R_2,R_G_ND2_R_3,R_G_ND2_R_4,R_G_ND2_M_1,F_B_ND1_R_1,F_B_ND1_R_2,F_B_ND1_R_3,F_B_ND1_R_4,F_B_ND1_M_1,S_G_ND2_R_1,S_G_ND2_R_2,S_G_ND2_R_3,S_G_ND2_R_4,S_G_ND2_M_1,A_B_ND1_R_1,A_B_ND1_R_2,A_B_ND1_R_3,A_B_ND1_R_4,A_B_ND1_M_1,previous_version,FL_59_DO,FL_6_DO,FL_26_DO,FL_27_DO,FL_28_DO,FL_29_DO,FL_30_DO,FL_31_DO,FL_93_DO,FL_100_DO
2022-04-11 14:35:54,2022-04-11 14:36:45,0,100,51,1,2022-04-11 14:36:47,R_TnFDbCMGHnSexSp,,,,,anonymous,EN,1,22,1,,,,,,,,,,,,3,6,4,4,73,6,4,4,6,79,7,2,6,4,3,4,29,6,4,4,5,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_29,,,,R_G_M|attn1|attn2|F_B_ND2|S_G_ND1|A_B_M,,,,
2022-04-11 14:35:35,2022-04-11 14:37:23,0,100,107,1,2022-04-11 14:37:24,R_1DAt1qQF8luztIk,,,,,anonymous,EN,1,43,2,,,,,,,,,,,,,,,,,,,,,,7,2,7,7,7,7,100,7,7,7,7,100,1,1,4,1,9,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_27,,S_G_ND1|A_B_ND2|attn1|attn2|F_B_M|R_G_M,,,,,,
2022-04-11 14:35:30,2022-04-11 14:37:42,0,100,131,1,2022-04-11 14:37:43,R_3DvTVJqdIxMHXGY,,,,,anonymous,EN,1,40,1,,,,,,,,,,,,1,1,1,1,0,5,5,5,5,82,7,2,6,7,7,7,91,7,6,6,6,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_29,,,,A_B_M|attn1|R_G_M|F_B_ND2|attn2|S_G_ND1,,,,
2022-04-11 14:36:04,2022-04-11 14:37:48,0,100,103,1,2022-04-11 14:37:48,R_3KDfxNZt8iunEbu,,,,,anonymous,EN,1,33,2,,7,7,7,7,100,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,7,7,7,7,87,7,7,7,7,100,,,,,,,,,,,7,7,7,7,100,2,FL_6,FL_93,,,,,,,attn2|R_G_ND2|attn1|A_B_ND1|S_G_M|F_B_M,
2022-04-11 14:35:44,2022-04-11 14:37:48,0,100,123,1,2022-04-11 14:37:49,R_sclVw2BVnmql1Fn,,,,,anonymous,EN,1,29,2,,4,4,4,4,73,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,3,3,2,3,39,5,5,5,5,73,,,,,,,,,,,3,3,4,4,41,2,FL_6,FL_93,,,,,,,attn1|attn2|A_B_ND1|R_G_ND2|S_G_M|F_B_M,
2022-04-11 14:35:40,2022-04-11 14:37:50,0,100,130,1,2022-04-11 14:37:51,R_0HxMVVSMrwT5IZ3,,,,,anonymous,EN,1,45,1,,7,7,7,7,100,,,,,,1,1,1,1,0,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,7,7,7,7,100,1,1,1,1,0,,,,,,,,,,,2,FL_6,FL_30,,,,,A_B_M|attn1|attn2|S_G_M|F_B_ND1|R_G_ND2,,,
2022-04-11 14:35:49,2022-04-11 14:37:51,0,100,122,1,2022-04-11 14:37:53,R_1o8dspiRA8bcOS3,,,,,anonymous,EN,1,40,2,,,,,,,,,,,,1,1,1,1,8,,,,,,7,5,,,,,,7,7,7,7,94,,,,,,,,,,,,,,,,2,2,2,2,21,6,6,6,6,88,,,,,,2,FL_6,FL_100,,,,,,,,R_G_M|A_B_M|attn1|attn2|S_G_ND2|F_B_ND1
2022-04-11 14:36:09,2022-04-11 14:38:02,0,100,112,1,2022-04-11 14:38:02,R_3O6qzAKSMaW9hun,,,,,anonymous,EN,1,31,1,,,,,,,,,,,,1,1,1,1,7,1,1,2,2,10,7,2,7,7,7,7,96,7,7,7,7,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_29,,,,S_G_ND1|F_B_ND2|attn2|attn1|A_B_M|R_G_M,,,,
2022-04-11 14:35:48,2022-04-11 14:38:02,0,100,133,1,2022-04-11 14:38:02,R_3oHBpGg58iJ53xN,,,,,anonymous,EN,1,34,1,,6,6,6,6,90,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,2,2,2,2,10,6,6,6,6,80,,,,,,,,,,,2,2,2,2,10,2,FL_6,FL_93,,,,,,,attn2|S_G_M|A_B_ND1|F_B_M|attn1|R_G_ND2,
2022-04-11 14:35:28,2022-04-11 14:38:05,0,100,156,1,2022-04-11 14:38:06,R_2SJljD4RsmX1tis,,,,,anonymous,EN,1,30,2,,7,7,7,7,100,7,7,7,7,100,,,,,,,,,,,7,2,,,,,,,,,,,1,1,2,2,10,1,1,2,2,9,,,,,,,,,,,,,,,,,,,,,2,FL_6,FL_28,,,R_G_ND1|A_B_ND2|attn2|S_G_M|attn1|F_B_M,,,,,
