StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consentQ,age,gender,gender_4_TEXT,S_ND1_R_1,S_ND1_R_2,S_ND1_R_3,S_ND1_R_4,S_ND1_M_1,R_ND2_R_1,R_ND2_R_2,R_ND2_R_3,R_ND2_R_4,R_ND2_M_1,F_M_R_1,F_M_R_2,F_M_R_3,F_M_R_4,F_M_M_1,A_M_R_1,A_M_R_2,A_M_R_3,A_M_R_4,A_M_M_1,attn_chk_1Q,attn_chk_2_Q,S_ND2_R_1,S_ND2_R_2,S_ND2_R_3,S_ND2_R_4,S_ND2_M_1,R_M_R_1,R_M_R_2,R_M_R_3,R_M_R_4,R_M_M_1,F_ND1_R_1,F_ND1_R_2,F_ND1_R_3,F_ND1_R_4,F_ND1_M_1,A_ND2_R_1,A_ND2_R_2,A_ND2_R_3,A_ND2_R_4,A_ND2_M_1,S_M_R_1,S_M_R_2,S_M_R_3,S_M_R_4,S_M_M_1,R_ND1_R_1,R_ND1_R_2,R_ND1_R_3,R_ND1_R_4,R_ND1_M_1,F_ND2_R_1,F_ND2_R_2,F_ND2_R_3,F_ND2_R_4,F_ND2_M_1,A_ND1_R_1,A_ND1_R_2,A_ND1_R_3,A_ND1_R_4,A_ND1_M_1
2022-01-30 18:33:23,2022-01-30 18:34:13,1,100,49,1,2022-01-30 18:34:14,R_3HNOqL0ssNVZMKW,,,,,preview,EN,1,,,,,,,,,,,,,,,,,,,2,6,6,7,65,1,1,2,3,4,5,60,2,3,4,5,60,5,6,7,7,64,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:56:46,2022-02-01 10:58:29,0,100,102,1,2022-02-01 10:58:29,R_bDu5nEds4JJwrQZ,,,,,anonymous,EN,1,25,1,,,,,,,,,,,,2,3,1,2,36,,,,,,7,2,,,,,,,,,,,,,,,,4,3,2,4,28,1,1,5,1,0,3,3,2,3,0,,,,,,,,,,
2022-02-01 10:56:57,2022-02-01 10:59:17,0,100,140,1,2022-02-01 10:59:18,R_1eJF4vxIrwCVoYc,,,,,anonymous,EN,1,21,1,,3,3,4,3,40,2,2,1,2,18,3,2,5,3,30,2,2,4,2,10,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:56:52,2022-02-01 10:59:48,0,100,175,1,2022-02-01 10:59:48,R_22P72dSp8OrG5cr,,,,,anonymous,EN,1,19,2,,,,,,,,,,,,,,,,,3,3,2,1,7,7,5,7,7,3,4,30,3,1,4,4,37,3,4,6,5,53,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:56:54,2022-02-01 11:00:03,0,100,188,1,2022-02-01 11:00:04,R_1JUC97i2UNZV5GY,,,,,anonymous,EN,1,19,3,,,,,,,,,,,,1,1,3,2,13,,,,,,7,5,,,,,,,,,,,,,,,,1,1,2,2,11,1,1,2,1,10,1,1,1,1,3,,,,,,,,,,
2022-02-01 10:56:52,2022-02-01 11:00:05,0,100,192,1,2022-02-01 11:00:05,R_2rOTs15tqRQwV9K,,,,,anonymous,EN,1,19,1,,,,,,,,,,,,,,,,,1,1,3,2,5,7,2,,,,,,,,,,,,,,,,,,,,,1,1,1,2,9,1,1,1,1,1,1,1,2,2,5,,,,,
2022-02-01 10:56:51,2022-02-01 11:00:11,0,100,200,1,2022-02-01 11:00:12,R_2uwlynXLtiMStnr,,,,,anonymous,EN,1,20,1,,,,,,,,,,,,,,,,,1,1,1,1,0,7,2,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,,,,,
2022-02-01 10:57:05,2022-02-01 11:00:13,0,100,187,1,2022-02-01 11:00:13,R_ANJLmoFx9dtQdEZ,,,,,anonymous,EN,1,20,2,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,3,2,2,3,30,,,,,,,,,,,3,3,5,4,43,,,,,,2,2,3,2,25,2,2,3,3,26
2022-02-01 10:57:39,2022-02-01 11:00:32,0,100,172,1,2022-02-01 11:00:32,R_erKQyfWZ9q2Z56N,,,,,anonymous,EN,1,28,2,,,,,,,,,,,,,,,,,4,4,3,2,44,5,5,,,,,,,,,,,,,,,,,,,,,5,4,5,4,50,5,3,5,5,33,3,3,2,2,23,,,,,
2022-02-01 10:57:03,2022-02-01 11:00:33,0,100,210,1,2022-02-01 11:00:34,R_3P5FstjojdG9yUm,,,,,anonymous,EN,1,27,2,,,,,,,,,,,,,,,,,7,5,5,6,74,4,5,3,3,2,2,0,1,1,1,1,0,3,3,3,4,33,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:02,2022-02-01 11:00:43,0,100,221,1,2022-02-01 11:00:43,R_1LdRcSn8ECVvIFo,,,,,anonymous,EN,1,18,2,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,7,4,7,4,25,,,,,,,,,,,7,4,7,1,24,,,,,,1,1,1,1,36,6,4,4,3,15
2022-02-01 10:57:45,2022-02-01 11:00:52,0,100,186,1,2022-02-01 11:00:52,R_1mym8F7Z57DSOl7,,,,,anonymous,EN,1,38,1,,1,1,6,2,28,,,,,,3,1,6,1,18,,,,,,5,2,,,,,,1,1,1,2,0,,,,,,1,1,6,1,11,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:25,2022-02-01 11:00:57,0,100,212,1,2022-02-01 11:00:58,R_RQgwmWwMUl4Y5nb,,,,,anonymous,EN,1,23,1,,1,1,1,1,7,1,1,1,1,6,1,1,1,1,13,1,2,1,1,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:01,2022-02-01 11:01:12,0,100,251,1,2022-02-01 11:01:13,R_QivP4jM7gjH6CKl,,,,,anonymous,EN,1,19,2,,,,,,,,,,,,,,,,,2,2,2,2,12,7,5,4,3,5,2,25,3,3,3,3,23,3,2,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:11,2022-02-01 11:01:14,0,100,243,1,2022-02-01 11:01:14,R_2X0rhIqKtxeNCO7,,,,,anonymous,EN,1,22,1,,4,4,4,4,37,4,4,4,5,36,4,4,4,5,18,4,4,5,4,22,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:19,2022-02-01 11:01:14,0,100,235,1,2022-02-01 11:01:15,R_2xWNcMUACVyQDvc,,,,,anonymous,EN,1,19,1,,,,,,,,,,,,3,2,4,3,30,,,,,,7,2,,,,,,,,,,,,,,,,2,1,5,3,37,3,3,5,4,36,3,3,3,3,35,,,,,,,,,,
2022-02-01 10:57:41,2022-02-01 11:01:17,0,100,216,1,2022-02-01 11:01:18,R_ujF7pt9dJhzEVgt,,,,,anonymous,EN,1,29,1,,,,,,,,,,,,4,5,4,3,63,,,,,,1,2,,,,,,,,,,,,,,,,5,3,1,3,29,4,3,5,3,50,4,2,1,4,46,,,,,,,,,,
2022-02-01 10:57:06,2022-02-01 11:01:37,0,100,271,1,2022-02-01 11:01:38,R_1I5hwVc8RikhWdH,,,,,anonymous,EN,1,40,1,,,,,,,,,,,,1,1,4,3,12,,,,,,7,5,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,3,3,19,1,1,1,2,8,,,,,,,,,,
2022-02-01 10:57:06,2022-02-01 11:01:38,0,100,271,1,2022-02-01 11:01:38,R_2zHdhW2CtX5qWFd,,,,,anonymous,EN,1,22,1,,1,1,1,3,0,,,,,,1,1,4,3,0,,,,,,2,2,,,,,,1,1,1,1,9,,,,,,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:56:54,2022-02-01 11:01:38,0,100,283,1,2022-02-01 11:01:39,R_OwI8g6B8uW8YHAJ,,,,,anonymous,EN,1,22,2,,,,,,,,,,,,,,,,,2,2,2,1,15,7,5,,,,,,,,,,,,,,,,,,,,,3,3,3,3,30,4,3,2,3,35,5,5,3,5,50,,,,,
2022-02-01 10:58:10,2022-02-01 11:01:55,0,100,224,1,2022-02-01 11:01:55,R_1nSAgMBDwa5bx03,,,,,anonymous,EN,1,20,1,,2,2,4,4,21,,,,,,2,3,4,3,33,,,,,,1,2,,,,,,3,3,2,3,17,,,,,,2,2,4,3,21,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:57:01,2022-02-01 11:01:55,0,100,294,1,2022-02-01 11:01:56,R_29IxMZzQJVdgyyZ,,,,,anonymous,EN,1,21,2,,3,1,4,2,30,3,2,2,1,30,3,2,4,2,40,2,1,2,1,25,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01 10:58:03,2022-02-01 11:01:56,0,100,233,1,2022-02-01 11:01:57,R_3m3PWbm6aw17YlM,,,,,anonymous,EN,1,41,1,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,4,4,4,4,59,,,,,,,,,,,2,2,4,2,31,,,,,,4,4,4,2,60,2,2,4,4,50
