"","ResponseId","R1","R2","R3","R4","M1","scenario","condition","diagnostic12","age","gender","attn_chk_1Q","attn_chk_2_Q","R_tot"
"1","R_1eJF4vxIrwCVoYc",3,3,4,3,40,"sam","non-diagnostic","ND1",21,1,7,5,3.25
"2","R_1mym8F7Z57DSOl7",1,1,6,2,28,"sam","non-diagnostic","ND1",38,1,5,2,2.5
"3","R_RQgwmWwMUl4Y5nb",1,1,1,1,7,"sam","non-diagnostic","ND1",23,1,7,5,1
"4","R_2X0rhIqKtxeNCO7",4,4,4,4,37,"sam","non-diagnostic","ND1",22,1,6,5,4
"5","R_2zHdhW2CtX5qWFd",1,1,1,3,0,"sam","non-diagnostic","ND1",22,1,2,2,1.5
"6","R_1nSAgMBDwa5bx03",2,2,4,4,21,"sam","non-diagnostic","ND1",20,1,1,2,3
"7","R_29IxMZzQJVdgyyZ",3,1,4,2,30,"sam","non-diagnostic","ND1",21,2,7,5,2.5
"8","R_rjrgGBbsEt8EUAV",2,3,2,2,27,"sam","non-diagnostic","ND1",20,1,5,2,2.25
"9","R_1pXLChFhdy1POSJ",1,1,1,1,1,"sam","non-diagnostic","ND1",19,2,7,2,1
"10","R_71fIT5gWzAohdVT",1,1,3,1,8,"sam","non-diagnostic","ND1",18,2,7,5,1.5
"11","R_3sc93x9Lx1dr87A",2,3,5,3,25,"sam","non-diagnostic","ND1",43,2,7,2,3.25
"12","R_UhwSe3QCnhIZVgR",1,2,4,5,5,"sam","non-diagnostic","ND1",19,1,7,5,3
"13","R_3GANMJBV8H3rnuz",1,2,4,2,10,"sam","non-diagnostic","ND1",19,2,7,5,2.25
"14","R_32PxGG5eD0x01TC",2,2,2,2,15,"sam","non-diagnostic","ND1",20,1,6,2,2
"15","R_9uz4MJIsnh3jrQR",2,2,4,2,31,"sam","non-diagnostic","ND1",25,2,1,2,2.5
"16","R_czN6Qigc97HtlZL",1,2,5,3,31,"sam","non-diagnostic","ND1",24,2,5,5,2.75
"17","R_1gNGE5ykgUEDWcY",3,3,4,3,36,"sam","non-diagnostic","ND1",20,2,7,2,3.25
"18","R_vUp0wWKzEDv6He1",3,3,3,3,41,"sam","non-diagnostic","ND1",19,2,5,5,3
"19","R_24c1FvMygBLZIw8",3,4,4,3,59,"sam","non-diagnostic","ND1",23,2,5,5,3.5
"20","R_72SNUy2aZuQPReh",2,2,3,3,2,"sam","non-diagnostic","ND1",20,2,7,2,2.5
"21","R_1n8BBA0fBhClX73",4,4,4,3,47,"sam","non-diagnostic","ND1",22,1,7,5,3.75
"22","R_3QDJk5NXE4jleMt",3,3,3,3,35,"sam","non-diagnostic","ND1",18,1,6,2,3
"23","R_3D1MzU6kDixR5zo",1,2,1,3,21,"sam","non-diagnostic","ND1",21,2,2,2,1.75
"24","R_1MJPhcL3N9Kccjf",3,2,6,3,32,"sam","non-diagnostic","ND1",20,2,7,5,3.5
"25","R_33ppReim6tFZ1We",2,2,4,1,19,"sam","non-diagnostic","ND1",29,2,7,2,2.25
"26","R_3s0sCCHOsde5O7B",3,3,5,2,29,"sam","non-diagnostic","ND1",22,1,2,2,3.25
"27","R_2tEHtMJoHLETs4P",3,3,4,3,26,"sam","non-diagnostic","ND1",19,2,7,5,3.25
"28","R_1o0i1uDM6FsInIR",1,4,3,3,16,"sam","non-diagnostic","ND1",39,1,7,2,2.75
"29","R_2zYlvtLPBRb7d83",3,2,3,2,25,"sam","non-diagnostic","ND1",27,2,6,5,2.5
"30","R_3R1vkXH6eQFbxK0",1,1,3,1,5,"sam","non-diagnostic","ND1",22,1,3,2,1.5
"31","R_C1UhsYjvX8gMSbL",2,4,2,2,28,"sam","non-diagnostic","ND1",18,1,7,2,2.5
"32","R_1lztGgtiNw6zBKk",1,3,4,3,70,"sam","non-diagnostic","ND1",28,2,7,2,2.75
"33","R_2X0C0re5nCnCWDF",3,3,3,3,47,"sam","non-diagnostic","ND1",43,2,7,2,3
"34","R_qW3gqZr9y6P7QTn",2,3,5,2,18,"sam","non-diagnostic","ND1",21,2,6,2,3
"35","R_ROZXdVTcNqJwOEF",4,4,4,4,45,"sam","non-diagnostic","ND1",21,1,7,2,4
"36","R_3jdJCom3XWu5iLb",3,3,4,2,35,"sam","non-diagnostic","ND1",45,2,7,5,3
"37","R_2uwaIybTyTHVlIe",1,1,2,1,10,"sam","non-diagnostic","ND1",20,2,7,2,1.25
"38","R_1PUdgREgPLwIWiZ",1,1,4,4,40,"sam","non-diagnostic","ND1",19,2,7,5,2.5
"39","R_yyZpzab8UrPXvkB",3,3,3,3,25,"sam","non-diagnostic","ND1",18,2,7,5,3
"40","R_3IQwxn5rgRuBMdg",3,3,4,2,40,"sam","non-diagnostic","ND1",27,2,7,5,3
"41","R_42CVQsWAakLxARz",2,2,2,2,20,"sam","non-diagnostic","ND1",32,1,7,2,2
"42","R_1Oppg6poeSehqwR",2,2,4,2,20,"sam","non-diagnostic","ND1",21,2,7,5,2.5
"43","R_1f9GPIJfBFbN5FT",2,3,4,2,35,"sam","non-diagnostic","ND1",19,1,7,2,2.75
"44","R_1nMUZAGpgjwzcQW",3,4,4,4,30,"sam","non-diagnostic","ND1",23,2,5,2,3.75
"45","R_tY728wRNCSgvewN",1,1,1,1,0,"sam","non-diagnostic","ND1",28,2,7,2,1
"46","R_9YOseDVWRgLhEtz",2,1,3,2,10,"sam","non-diagnostic","ND1",22,2,7,2,2
"47","R_2SwCM2mt2DqUE9r",4,4,4,5,70,"sam","non-diagnostic","ND1",20,2,7,2,4.25
"48","R_3qPfegJCjpB5pqT",2,2,2,2,80,"sam","non-diagnostic","ND1",26,1,7,2,2
"49","R_2cb9gxmJxWfe289",3,3,5,3,34,"sam","non-diagnostic","ND1",24,1,7,2,3.5
"50","R_2AXXKnEEt0rD26o",2,2,4,3,18,"sam","non-diagnostic","ND1",22,1,7,5,2.75
"51","R_1lgggCuNIAyUErJ",4,4,4,4,50,"sam","non-diagnostic","ND1",40,2,7,2,4
"52","R_RlhYb8jPFbpZd97",3,2,4,5,30,"sam","non-diagnostic","ND1",18,1,7,2,3.5
"53","R_2y33Bu7oxsAkJ66",2,2,2,2,23,"sam","non-diagnostic","ND1",22,1,7,5,2
"54","R_1kGmXrayZdkDsS7",4,1,3,4,4,"sam","non-diagnostic","ND1",37,1,7,2,3
"55","R_W87wVCoz1nLpuZH",3,2,4,2,30,"sam","non-diagnostic","ND1",25,2,7,5,2.75
"56","R_2OVdJ9LWSNhbjCv",4,2,2,2,20,"sam","non-diagnostic","ND1",27,2,7,2,2.5
"57","R_3mjz2WfoB4rCAjI",2,2,5,2,25,"sam","non-diagnostic","ND1",22,1,7,2,2.75
"58","R_2P576ttTSLoibZF",2,1,4,3,21,"sam","non-diagnostic","ND1",18,1,7,2,2.5
"59","R_3EtARzNAKkWCuP1",3,3,3,4,10,"sam","non-diagnostic","ND1",19,2,7,2,3.25
"60","R_2QXnd7mBHFgKGMX",2,2,2,2,35,"sam","non-diagnostic","ND1",38,2,7,2,2
"61","R_3R8UVujKwfhy5WA",2,2,2,2,18,"sam","non-diagnostic","ND1",31,2,5,5,2
"62","R_2YP0MDZAswKmFeZ",2,2,2,2,18,"sam","non-diagnostic","ND1",23,1,3,5,2
"63","R_10HrxH0CvVY5afo",4,4,4,4,52,"sam","non-diagnostic","ND1",36,1,7,5,4
"64","R_26nJrFI8Ulco18W",4,4,4,4,50,"sam","non-diagnostic","ND1",20,1,7,2,4
"65","R_27rHdgfiezueN88",1,1,1,1,11,"sam","non-diagnostic","ND1",19,2,7,5,1
"66","R_1rdlNGMC81w3HmV",3,3,4,3,35,"sam","non-diagnostic","ND1",21,2,7,2,3.25
"67","R_2chC40Fe8SFIUcR",4,4,4,4,50,"sam","non-diagnostic","ND1",58,1,7,2,4
"68","R_1FOCionaPHAmgOo",5,4,6,4,49,"sam","non-diagnostic","ND1",22,2,6,5,4.75
"69","R_VPuml39c0OsbE2J",2,3,4,1,28,"sam","non-diagnostic","ND1",19,2,3,2,2.5
"70","R_C3NmdMfCAswkrpn",3,3,4,1,40,"sam","non-diagnostic","ND1",23,2,7,5,2.75
"71","R_bKn7IIMAfwmTUd3",4,3,4,4,50,"sam","non-diagnostic","ND1",23,2,7,5,3.75
"72","R_577j683rBna4Imd",2,2,3,2,24,"sam","non-diagnostic","ND1",21,1,7,2,2.25
"73","R_2BfTT03l9NcJ5Ms",1,1,1,1,0,"sam","non-diagnostic","ND1",45,1,5,2,1
"74","R_sOvfRccfHFgcwtH",4,3,4,2,33,"sam","non-diagnostic","ND1",21,2,7,5,3.25
"75","R_27jOEGBwohLqgoz",2,2,1,1,5,"sam","non-diagnostic","ND1",23,1,7,5,1.5
"76","R_1f0NmXPmt6iKEdR",2,2,3,2,13,"sam","non-diagnostic","ND1",20,2,3,2,2.25
"77","R_3fJXbeSaaJwku8M",3,3,3,3,15,"sam","non-diagnostic","ND1",21,2,3,2,3
"78","R_sb64lskbtM13Bpn",1,1,3,1,20,"sam","non-diagnostic","ND1",22,2,7,5,1.5
"79","R_2D2Ewy6Y7Cn2KYE",3,4,5,4,50,"sam","non-diagnostic","ND1",22,2,2,5,4
"80","R_xhYxl8qPkUdqhYB",2,1,4,2,10,"sam","non-diagnostic","ND1",19,2,7,2,2.25
"81","R_1imsC09Y3N5YGiv",2,2,3,3,20,"sam","non-diagnostic","ND1",20,2,7,2,2.5
"82","R_pLYvXK09IG2fi9j",3,2,3,4,37,"sam","non-diagnostic","ND1",21,2,2,2,3
"83","R_PNAnWXYxijgypTH",4,4,4,4,49,"sam","non-diagnostic","ND1",28,1,7,5,4
"84","R_2391e9Rq39jpdUt",2,2,4,1,20,"sam","non-diagnostic","ND1",21,1,7,5,2.25
"85","R_1mI8jh3bIBTiJbB",3,2,4,3,24,"sam","non-diagnostic","ND1",23,2,7,5,3
"86","R_3Dm0T3cGxLxiRvX",2,2,2,2,20,"sam","non-diagnostic","ND1",21,2,7,2,2
"87","R_3q8VdlBEtAujUDQ",1,1,4,3,0,"sam","non-diagnostic","ND1",19,2,7,2,2.25
"88","R_271NigiVHgd0I0o",2,2,3,3,20,"sam","non-diagnostic","ND1",22,1,7,2,2.5
"89","R_2tmO4i9uYDXaz4m",3,3,3,3,28,"sam","non-diagnostic","ND1",18,1,7,2,3
"90","R_2cpYzJib9guycCu",4,3,2,3,38,"sam","non-diagnostic","ND1",20,2,7,2,3
"91","R_2QsaHF5ak9E8Alz",4,4,3,3,31,"sam","non-diagnostic","ND1",31,1,7,3,3.5
"92","R_2b3qHxjBNyOGF2u",3,2,4,2,19,"sam","non-diagnostic","ND1",19,2,7,2,2.75
"93","R_8dEZklfxhYw8EbD",2,1,3,1,15,"sam","non-diagnostic","ND1",20,3,7,2,1.75
"94","R_3QMHyRDPdwyptrJ",1,1,3,3,24,"sam","non-diagnostic","ND1",39,1,7,2,2
"95","R_1puuHhAwaMUUIzr",4,4,4,3,50,"sam","non-diagnostic","ND1",50,1,7,2,3.75
"96","R_p4s55QVRTtG5qox",3,1,3,2,11,"sam","non-diagnostic","ND1",18,3,7,5,2.25
"97","R_2wtdIpwo78WpFuT",1,1,1,1,10,"sam","non-diagnostic","ND1",40,1,5,2,1
"98","R_3MKaXB9hIDnuzne",1,1,4,3,16,"sam","non-diagnostic","ND1",21,2,7,2,2.25
"99","R_1cTxd4sYuNc7Edh",1,1,1,1,2,"sam","non-diagnostic","ND1",19,1,2,5,1
"100","R_2YbUNMcpwA6naYB",2,2,4,3,25,"sam","non-diagnostic","ND1",52,1,7,2,2.75
"101","R_2CmkyY8ti8ZwpuT",2,3,3,2,30,"sam","non-diagnostic","ND1",22,1,7,5,2.5
"102","R_2SGOSVR6Bhqxwpu",3,2,2,1,20,"sam","non-diagnostic","ND1",20,1,7,5,2
"103","R_sToIzj9rrUAntdf",4,4,5,4,60,"sam","non-diagnostic","ND1",29,1,7,5,4.25
"104","R_2f3Qen9MgN5mWVu",3,3,3,3,38,"sam","non-diagnostic","ND1",18,2,4,2,3
"105","R_wWWPyDSOY4xpplL",4,2,3,3,30,"sam","non-diagnostic","ND1",26,2,7,5,3
"106","R_RqW9FQtLAJ3Gbex",4,4,3,3,50,"sam","non-diagnostic","ND1",22,2,7,5,3.5
"107","R_3R7o4bzJBQG5d6l",2,2,3,3,21,"sam","non-diagnostic","ND1",21,2,7,2,2.5
"108","R_O7FWukit3MgqRpv",2,2,4,3,18,"sam","non-diagnostic","ND1",19,2,2,5,2.75
"109","R_1dFzn8BMjgbSWgL",1,2,5,1,4,"sam","non-diagnostic","ND1",19,1,4,2,2.25
"110","R_2zG9f3nCYpONCeG",2,1,2,2,14,"sam","non-diagnostic","ND1",19,1,7,2,1.75
"111","R_3QMCaI7sqXBLxoF",3,3,3,3,30,"sam","non-diagnostic","ND1",23,2,7,2,3
"112","R_cFJY2XjpJnFgelP",4,3,4,4,50,"sam","non-diagnostic","ND1",23,1,7,2,3.75
"113","R_RVqNK7voR5Q26mR",2,2,2,2,20,"sam","non-diagnostic","ND1",47,1,7,2,2
"114","R_3QVSktb3xTMujXo",1,1,2,2,15,"sam","non-diagnostic","ND1",21,1,7,5,1.5
